n,Datetime (UTC),Timestamp (s),Altitude (m),Temperature (C),Longitude,Latitude,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Flag
0,2025-02-21 15:17:12,0.986,-0.037,26.347,-1,-1,0.134033203125,-0.01416015625,1.090087890625,Before Launch
1,2025-02-21 15:17:13,2.072,0.154,26.36,-1,-1,0.13330078125,-0.011962890625,1.09912109375,Before Launch
2,2025-02-21 15:17:14,3.158,-0.058,26.357,-1,-1,0.12939453125,-0.010986328125,1.106201171875,Before Launch
3,2025-02-21 15:17:15,4.244,-0.313,26.372,-1,-1,0.13818359375,-0.009521484375,1.106201171875,Before Launch
4,2025-02-21 15:17:16,5.33,-0.026,26.377,-1,-1,0.112548828125,-0.009033203125,1.100341796875,Before Launch
5,2025-02-21 15:17:18,6.817,-0.011,26.382,-1,-1,0.12451171875,-0.00830078125,1.102783203125,Before Launch
6,2025-02-21 15:17:19,7.903,-0.053,26.377,-1,-1,0.131103515625,-0.0126953125,1.09375,Before Launch
7,2025-02-21 15:17:20,8.989,-0.224,26.392,-1,-1,0.131103515625,-0.012939453125,1.0947265625,Before Launch
8,2025-02-21 15:17:21,10.075,-0.27,26.395,-1,-1,0.127685546875,-0.00927734375,1.104736328125,Before Launch
9,2025-02-21 15:17:22,11.161,-0.069,26.397,-1,-1,0.13671875,-0.013427734375,1.093994140625,Before Launch
10,2025-02-21 15:17:23,12.647,-0.176,26.395,-1,-1,0.126953125,-0.009765625,1.093505859375,Before Launch
11,2025-02-21 15:17:24,13.733,-0.162,26.399,-1,-1,0.13427734375,-0.00830078125,1.106201171875,Before Launch
12,2025-02-21 15:17:26,14.819,0.111,26.404,-1,-1,0.131103515625,-0.011474609375,1.080078125,Before Launch
13,2025-02-21 15:17:27,15.905,-0.059,26.409,-1,-1,0.134521484375,-0.009033203125,1.09716796875,Before Launch
14,2025-02-21 15:17:28,16.991,-0.143,26.404,-1,-1,0.133544921875,-0.013916015625,1.120849609375,Before Launch
15,2025-02-21 15:17:29,18.478,-0.074,26.409,-1,-1,0.132080078125,-0.008056640625,1.10205078125,Before Launch
16,2025-02-21 15:17:30,19.564,-0.03,26.417,-1,-1,0.132568359375,-0.0107421875,1.1044921875,Before Launch
17,2025-02-21 15:17:31,20.65,-0.074,26.409,-1,-1,0.140380859375,-0.007568359375,1.099853515625,Before Launch
18,2025-02-21 15:17:32,21.736,-0.166,26.417,-1,-1,0.12744140625,-0.014404296875,1.100341796875,Before Launch
19,2025-02-21 15:17:34,22.822,0.121,26.414,-1,-1,0.132080078125,-0.013916015625,1.1005859375,Before Launch
20,2025-02-21 15:17:35,24.308,-0.027,26.417,-1,-1,0.12744140625,-0.014892578125,1.0947265625,Before Launch
21,2025-02-21 15:17:36,25.394,0.011,26.422,-1,-1,0.12841796875,-0.013916015625,1.099853515625,Before Launch
22,2025-02-21 15:17:37,26.48,-0.281,26.419,-1,-1,0.1357421875,-0.0068359375,1.107666015625,Before Launch
23,2025-02-21 15:17:38,27.566,-0.248,26.427,-1,-1,0.13232421875,-0.010498046875,1.0947265625,Before Launch
24,2025-02-21 15:17:39,28.652,0.062,26.419,-1,-1,0.1318359375,-0.010498046875,1.086181640625,Before Launch
25,2025-02-21 15:17:41,30.139,-0.17,26.424,-1,-1,0.128173828125,-0.015869140625,1.0966796875,Before Launch
26,2025-02-21 15:17:42,31.225,-0.159,26.427,-1,-1,0.13134765625,-0.026611328125,1.09423828125,Before Launch
27,2025-02-21 15:17:43,32.311,-0.123,26.424,-1,-1,0.13037109375,-0.01953125,1.103515625,Before Launch
28,2025-02-21 15:17:44,33.397,-0.048,26.432,-1,-1,0.132568359375,-0.01123046875,1.1044921875,Before Launch
29,2025-02-21 15:17:45,34.483,-0.02,26.432,-1,-1,0.128662109375,-0.016357421875,1.095947265625,Before Launch
30,2025-02-21 15:17:47,35.969,-0.026,26.437,-1,-1,0.137939453125,-0.012939453125,1.0908203125,Before Launch
31,2025-02-21 15:17:48,37.055,-0.02,26.437,-1,-1,0.132568359375,-0.0087890625,1.091796875,Before Launch
32,2025-02-21 15:17:49,38.141,0.018,26.437,-1,-1,0.138916015625,-0.02978515625,1.105224609375,Before Launch
33,2025-02-21 15:17:50,39.227,0.1,26.432,-1,-1,0.130615234375,-0.014892578125,1.103271484375,Before Launch
34,2025-02-21 15:17:51,40.313,-0.127,26.437,-1,-1,0.112060546875,-0.008056640625,1.1015625,Before Launch
35,2025-02-21 15:17:53,41.799,-0.127,26.429,-1,-1,0.130126953125,-0.000732421875,1.095458984375,Before Launch
36,2025-02-21 15:17:54,42.885,-0.191,26.442,-1,-1,0.13623046875,-0.0126953125,1.10205078125,Before Launch
37,2025-02-21 15:17:55,43.971,-0.279,26.447,-1,-1,0.128662109375,-0.010009765625,1.096435546875,Before Launch
38,2025-02-21 15:17:56,45.057,-0.106,26.447,-1,-1,0.123291015625,-0.01904296875,1.092529296875,Before Launch
39,2025-02-21 15:17:57,46.143,0.02,26.449,-1,-1,0.13671875,-0.00048828125,1.10595703125,Before Launch
40,2025-02-21 15:17:58,47.63,-0.315,26.444,-1,-1,0.1279296875,-0.01220703125,1.078125,Before Launch
41,2025-02-21 15:17:59,48.716,-0.13,26.442,-1,-1,0.130859375,-0.01220703125,1.09716796875,Before Launch
42,2025-02-21 15:18:01,49.802,-0.172,26.449,-1,-1,0.129150390625,-0.029052734375,1.099365234375,Before Launch
43,2025-02-21 15:18:02,50.888,-0.352,26.452,-1,-1,0.133056640625,-0.01611328125,1.105712890625,Before Launch
44,2025-02-21 15:18:03,51.974,-0.124,26.457,-1,-1,0.126953125,-0.007080078125,1.09423828125,Before Launch
45,2025-02-21 15:18:04,53.46,-0.209,26.442,-1,-1,0.13134765625,-0.01123046875,1.0859375,Before Launch
46,2025-02-21 15:18:05,54.546,-0.246,26.452,-1,-1,0.13330078125,-0.010498046875,1.099853515625,Before Launch
47,2025-02-21 15:18:06,55.632,-0.14,26.452,-1,-1,0.12939453125,-0.011474609375,1.102294921875,Before Launch
48,2025-02-21 15:18:07,56.718,-0.241,26.452,-1,-1,0.12890625,-0.01611328125,1.095947265625,Before Launch
49,2025-02-21 15:18:09,57.804,-0.059,26.449,-1,-1,0.1376953125,-0.00927734375,1.118896484375,Before Launch
50,2025-02-21 15:18:10,59.291,-0.031,26.452,-1,-1,0.125732421875,-0.00927734375,1.107421875,Before Launch
51,2025-02-21 15:18:11,60.377,0.01,26.452,-1,-1,0.131103515625,-0.013916015625,1.097900390625,Before Launch
52,2025-02-21 15:18:12,61.463,0.028,26.452,-1,-1,0.13330078125,-0.009033203125,1.103515625,Before Launch
53,2025-02-21 15:18:13,62.549,-0.005,26.452,-1,-1,0.128662109375,-0.011962890625,1.0927734375,Before Launch
54,2025-02-21 15:18:14,63.635,-0.254,26.452,-1,-1,0.13134765625,-0.013427734375,1.095947265625,Before Launch
55,2025-02-21 15:18:16,65.121,-0.228,26.452,-1,-1,0.133056640625,-0.009765625,1.107666015625,Before Launch
56,2025-02-21 15:18:17,66.207,-0.079,26.457,-1,-1,0.133544921875,-0.0048828125,1.105224609375,Before Launch
57,2025-02-21 15:18:18,67.293,-0.444,26.457,-1,-1,0.1259765625,-0.01171875,1.102783203125,Before Launch
58,2025-02-21 15:18:19,68.379,-0.172,26.439,-1,-1,0.1318359375,-0.015625,1.083984375,Before Launch
59,2025-02-21 15:18:20,69.465,-0.335,26.442,-1,-1,0.137451171875,-0.011962890625,1.1064453125,Before Launch
60,2025-02-21 15:18:22,70.951,0.026,26.442,-1,-1,0.139404296875,-0.0107421875,1.091796875,Before Launch
61,2025-02-21 15:18:23,72.037,0.088,26.437,-1,-1,0.139892578125,-0.0146484375,1.1044921875,Before Launch
62,2025-02-21 15:18:24,73.123,-0.066,26.444,-1,-1,0.129638671875,-0.010009765625,1.095947265625,Before Launch
