n,Datetime (UTC),Timestamp (s),Altitude (ft),Velocity (ft/s),Temperature (C),Longitude,Latitude,Roll (°),Pitch (°),Flag
0,2025-03-14 00:03:05,0.981,-0.07545932,,21.174,-1,-1,-1,-1,Before Launch
1,2025-03-14 00:03:06,2.062,0.036089239999999995,0.173,21.171,-1,-1,-1,-1,Before Launch
2,2025-03-14 00:03:07,3.143,-0.10498688,-0.136,21.176,-1,-1,-1,-1,Before Launch
3,2025-03-14 00:03:08,4.224,0.41338584,0.462,21.179,-1,-1,-1,-1,Before Launch
4,2025-03-14 00:03:09,5.305,-0.25262468,-0.981,21.179,-1,-1,-1,-1,Before Launch
5,2025-03-14 00:03:11,6.786,0.48884516,0.446,21.179,-1,-1,-1,-1,Before Launch
6,2025-03-14 00:03:12,7.867,0.8366142,-0.468,21.179,-1,-1,-1,-1,Before Launch
7,2025-03-14 00:03:13,8.948,0.52165356,-1.355,21.181,-1,-1,-1,-1,Before Launch
8,2025-03-14 00:03:14,10.029,0.38385828,-0.809,21.179,-1,-1,-1,-1,Before Launch
9,2025-03-14 00:03:15,11.11,-0.21325460000000002,-0.898,21.181,-1,-1,-1,-1,Before Launch
10,2025-03-14 00:03:17,12.591,0.00328084,0.238,21.176,-1,-1,-1,-1,Before Launch
11,2025-03-14 00:03:18,13.672,-0.53149608,-0.331,21.179,-1,-1,-1,-1,Before Launch
12,2025-03-14 00:03:19,14.753,0.35433072,1.279,21.179,-1,-1,-1,-1,Before Launch
13,2025-03-14 00:03:20,15.834,0.09514436,-0.651,21.181,-1,-1,-1,-1,Before Launch
14,2025-03-14 00:03:21,16.914,0.76443572,0.276,21.179,-1,-1,-1,-1,Before Launch
15,2025-03-14 00:03:23,18.395,0.83989504,-0.564,21.176,-1,-1,-1,-1,Before Launch
16,2025-03-14 00:03:24,19.476,0.49212599999999995,-1.38,21.174,-1,-1,-1,-1,Before Launch
17,2025-03-14 00:03:25,20.557,0.5511811200000001,-0.648,21.176,-1,-1,-1,-1,Before Launch
18,2025-03-14 00:03:26,21.638,0.049212599999999995,-1.072,21.176,-1,-1,-1,-1,Before Launch
19,2025-03-14 00:03:27,22.719,0.28871391999999996,0.078,21.179,-1,-1,-1,-1,Before Launch
20,2025-03-14 00:03:28,24.2,0.8530184000000001,-0.032,21.174,-1,-1,-1,-1,Before Launch
21,2025-03-14 00:03:29,25.281,0.11154856,-1.638,21.171,-1,-1,-1,-1,Before Launch
22,2025-03-14 00:03:30,26.361,0.61023624,0.149,21.171,-1,-1,-1,-1,Before Launch
23,2025-03-14 00:03:32,27.442,0.51837272,-0.903,21.176,-1,-1,-1,-1,Before Launch
24,2025-03-14 00:03:33,28.523,0.65288716,-0.639,21.171,-1,-1,-1,-1,Before Launch
25,2025-03-14 00:03:34,30.004,0.66929136,-0.499,21.171,-1,-1,-1,-1,Before Launch
26,2025-03-14 00:03:35,31.085,0.80708664,-0.847,21.176,-1,-1,-1,-1,Before Launch
27,2025-03-14 00:03:36,32.166,1.11220476,-0.934,21.174,-1,-1,-1,-1,Before Launch
28,2025-03-14 00:03:37,33.248,0.68569556,-1.803,21.171,-1,-1,-1,-1,During Launch
29,2025-03-14 00:03:38,34.329,0.27559056000000004,-1.201,21.176,-1,-1,-1,-1,During Launch
30,2025-03-14 00:03:40,35.81,0.19028872,-0.241,21.164,-1,-1,-1,-1,During Launch
31,2025-03-14 00:03:41,36.891,0.19028872,-0.264,21.169,-1,-1,-1,-1,During Launch
32,2025-03-14 00:03:42,37.972,0.5511811200000001,-0.044,21.169,-1,-1,-1,-1,During Launch
33,2025-03-14 00:03:43,39.054,-0.08858268,-1.154,21.169,-1,-1,-1,-1,During Launch
34,2025-03-14 00:03:44,40.134,0.049212599999999995,0.207,21.166,-1,-1,-1,-1,During Launch
35,2025-03-14 00:03:46,41.615,0.7185039599999999,0.188,21.161,-1,-1,-1,-1,During Launch
36,2025-03-14 00:03:47,42.696,1.12860896,-0.748,21.176,-1,-1,-1,-1,During Launch
37,2025-03-14 00:03:48,43.777,0.8858268,-1.714,21.164,-1,-1,-1,-1,During Launch
38,2025-03-14 00:03:49,44.858,0.52165356,-1.454,21.169,-1,-1,-1,-1,During Launch
39,2025-03-14 00:03:50,45.941,0.29199475999999996,-0.865,21.164,-1,-1,-1,-1,After Launch
