n,Datetime (UTC),Timestamp (s),Altitude (ft),Velocity (ft/s),Temperature (C),Longitude,Latitude,Roll (°),Pitch (°),Yaw (°),Flag
0,2025-03-21 00:34:30,0.006,2.2408137200000002,,24.254,-1,-1,0.0,0.0,0.0,Before Launch
1,2025-03-21 00:34:30,0.05,-0.20341208,,24.259,-1,-1,0.0,0.0,0.0,Before Launch
2,2025-03-21 00:34:30,0.092,0.03937008,,24.259,-1,-1,0.0,0.0,0.0,Before Launch
3,2025-03-21 00:34:30,0.135,1.22047248,,24.259,-1,-1,0.0,0.0,0.0,Before Launch
4,2025-03-21 00:34:30,0.177,0.7053806,,24.262,-1,-1,0.0,0.0,0.0,Before Launch
5,2025-03-21 00:34:31,0.22,0.58727036,,24.264,-1,-1,0.0,0.0,0.0,Before Launch
6,2025-03-21 00:34:31,0.262,0.62992128,,24.272,-1,-1,0.0,0.0,0.0,Before Launch
7,2025-03-21 00:34:31,0.305,0.11482940000000001,,24.274,-1,-1,0.0,0.0,0.0,Before Launch
8,2025-03-21 00:34:31,0.347,0.7480315200000001,,24.269,-1,-1,0.0,0.0,0.0,Before Launch
9,2025-03-21 00:34:31,0.39,0.7480315200000001,,24.269,-1,-1,0.0,0.0,0.0,Before Launch
10,2025-03-21 00:34:31,0.432,0.23293963999999998,,24.272,-1,-1,0.0,0.0,0.0,Before Launch
11,2025-03-21 00:34:31,0.475,1.41732288,,24.272,-1,-1,0.0,0.0,0.0,Before Launch
12,2025-03-21 00:34:31,0.517,-0.00656168,,24.277,-1,-1,0.0,0.0,0.0,Before Launch
13,2025-03-21 00:34:31,0.56,-0.00656168,,24.277,-1,-1,0.0,0.0,0.0,Before Launch
14,2025-03-21 00:34:31,0.603,-0.63320212,,24.277,-1,-1,0.0,0.0,0.0,Before Launch
15,2025-03-21 00:34:31,0.645,0.26902888,,24.279,-1,-1,0.0,0.0,0.0,Before Launch
16,2025-03-21 00:34:31,0.688,0.5511811200000001,,24.282,-1,-1,0.0,0.0,0.0,Before Launch
17,2025-03-21 00:34:31,0.73,0.5511811200000001,,24.287,-1,-1,0.0,0.0,0.0,Before Launch
18,2025-03-21 00:34:31,0.772,1.22047248,,24.284,-1,-1,0.0,0.0,0.0,Before Launch
19,2025-03-21 00:34:31,0.815,-0.042650919999999995,,24.294,-117.7959865,35.104622,0.0,0.0,0.0,Before Launch
20,2025-03-21 00:34:31,0.857,-0.60039372,,24.289,-117.7959865,35.104622,0.0,0.0,0.0,Before Launch
21,2025-03-21 00:34:31,0.9,0.97769032,,24.289,-117.7959865,35.104622,0.0,0.0,0.0,Before Launch
22,2025-03-21 00:34:31,0.942,0.47244095999999997,,24.292,-117.7959865,35.104622,0.0,0.0,0.0,Before Launch
23,2025-03-21 00:34:31,0.984,0.07874016,,24.292,-117.7959865,35.104622,0.0,0.0,0.0,Before Launch
24,2025-03-21 00:34:31,1.027,1.14173232,,24.294,-117.7959865,35.104622,7.47469424091051,-7.529560815513845,7.442929162722365,Before Launch
25,2025-03-21 00:34:31,1.07,0.9022310000000001,-1.258,24.299,-117.7959865,35.104622,22.96038864599987,-22.978944588948305,22.878503784521772,Before Launch
26,2025-03-21 00:34:31,1.112,-0.16076116000000001,0.04,24.297,-117.7959865,35.104622,28.786482071267443,-28.847538397028284,28.727668705470013,Before Launch
27,2025-03-21 00:34:31,1.155,0.62664044,0.552,24.297,-117.7959865,35.104622,27.592901919367478,-14.280213349916679,13.193914214733422,Before Launch
28,2025-03-21 00:34:32,1.198,0.62664044,-0.559,24.297,-117.7959865,35.104622,27.178154579539473,-9.767181278007364,8.406190371629773,Before Launch
29,2025-03-21 00:34:32,1.24,1.02034124,0.296,24.297,-117.7959865,35.104622,26.697847363945996,-4.15973400394357,2.4096256776869773,Before Launch
30,2025-03-21 00:34:32,1.283,0.54790028,-0.037,24.307,-117.7959865,35.104622,26.559148890495567,-2.463257758847834,0.613768004937711,Before Launch
31,2025-03-21 00:34:32,1.325,1.02034124,0.367,24.297,-117.7959865,35.104622,26.368114816979958,-0.39924122748670055,-1.5529856801187851,Before Launch
32,2025-03-21 00:34:32,1.368,0.98753284,0.821,24.314,-117.7959865,35.104622,26.30601425108995,0.22744370548141757,-2.222997273001576,Before Launch
33,2025-03-21 00:34:32,1.41,0.42979004000000004,-0.299,24.314,-117.7959865,35.104622,26.204267829043683,0.9980962699597686,-3.0404689255029886,Before Launch
34,2025-03-21 00:34:32,1.453,1.8536745999999997,1.04,24.304,-117.7959865,35.104622,26.176096732557202,1.2126358906825687,-3.3049333598354207,Before Launch
35,2025-03-21 00:34:32,1.495,-0.63320212,-0.815,24.307,-117.7959865,35.104622,26.140542666500426,1.5116864989325767,-3.5969983471624785,Before Launch
