n,Datetime (UTC),Timestamp (s),Altitude (ft),Velocity (ft/s),Temperature (C),Longitude,Latitude,Roll (°),Pitch (°),Yaw (°),Flag
0,2025-04-28 00:14:23,0.004,-1.02362208,,30.795,-1,-1,0.0,0.0,0.0,Before Launch
1,2025-04-28 00:14:23,0.047,-0.6758530399999999,,30.787,-1,-1,0.0,0.0,0.0,Before Launch
2,2025-04-28 00:14:24,0.089,0.08530183999999999,,30.785,-1,-1,0.0,0.0,0.0,Before Launch
3,2025-04-28 00:14:24,0.132,-0.77427824,,30.797,-1,-1,0.0,0.0,0.0,Before Launch
4,2025-04-28 00:14:24,0.174,-0.40354332,,30.797,-1,-1,0.0,0.0,0.0,Before Launch
5,2025-04-28 00:14:24,0.217,-0.65288716,,30.792,-1,-1,0.0,0.0,0.0,Before Launch
6,2025-04-28 00:14:24,0.259,-0.05577428,,30.79,-1,-1,0.0,0.0,0.0,Before Launch
7,2025-04-28 00:14:24,0.301,-0.28543308,,30.795,-1,-1,0.0,0.0,0.0,Before Launch
8,2025-04-28 00:14:24,0.344,-1.14173232,,30.797,-1,-1,0.0,0.0,0.0,Before Launch
9,2025-04-28 00:14:24,0.386,-1.16141736,,30.79,-1,-1,0.0,0.0,0.0,Before Launch
10,2025-04-28 00:14:24,0.429,-0.7939632799999999,,30.79,-1,-1,0.0,0.0,0.0,Before Launch
11,2025-04-28 00:14:24,0.471,-0.65288716,,30.795,-1,-1,0.0,0.0,0.0,Before Launch
12,2025-04-28 00:14:24,0.513,-1.37139112,,30.8,-1,-1,0.0,0.0,0.0,Before Launch
13,2025-04-28 00:14:24,0.556,-0.7939632799999999,,30.79,-1,-1,0.0,0.0,0.0,Before Launch
14,2025-04-28 00:14:24,0.598,-0.28543308,,30.795,-1,-1,0.0,0.0,0.0,Before Launch
15,2025-04-28 00:14:24,0.641,-1.63057748,,30.8,-1,-1,0.0,0.0,0.0,Before Launch
16,2025-04-28 00:14:24,0.683,0.21325460000000002,,30.8,-1,-1,0.0,0.0,0.0,Before Launch
17,2025-04-28 00:14:24,0.725,-1.2631234,,30.8,-1,-1,0.0,0.0,0.0,Before Launch
18,2025-04-28 00:14:24,0.768,-1.14173232,,30.797,-1,-1,0.0,0.0,0.0,Before Launch
19,2025-04-28 00:14:24,0.81,-0.77427824,,30.797,-1,-1,0.0,0.0,0.0,Before Launch
20,2025-04-28 00:14:24,0.853,0.08530183999999999,,30.795,-1,-1,0.0,0.0,0.0,Before Launch
21,2025-04-28 00:14:24,0.895,-1.14173232,,30.797,-1,-1,0.0,0.0,0.0,Before Launch
22,2025-04-28 00:14:24,0.938,-0.18700788000000002,,30.785,-1,-1,0.0,0.0,0.0,Before Launch
23,2025-04-28 00:14:24,0.98,-0.77427824,,30.797,0.0,0.0,0.0,0.0,0.0,Before Launch
24,2025-04-28 00:14:24,1.022,0.47244095999999997,,30.802,0.0,0.0,25.459598466645478,-25.34192971173592,25.400764732032034,Before Launch
25,2025-04-28 00:14:24,1.069,-0.53477692,0.459,30.792,0.0,0.0,37.361340535021725,-37.30303986301195,37.312930769274594,Before Launch
26,2025-04-28 00:14:25,1.113,0.70209976,1.293,30.797,0.0,0.0,39.77320943819393,-39.723682770060314,39.72379680672662,Before Launch
27,2025-04-28 00:14:25,1.156,0.08530183999999999,0.0,30.795,0.0,0.0,-24.663529315164457,-26.509589301529505,110.03448905131185,Before Launch
28,2025-04-28 00:14:25,1.198,0.062335959999999996,0.785,30.787,0.0,0.0,-43.10304950380755,-22.565149892620692,130.16544037985403,Before Launch
29,2025-04-28 00:14:25,1.24,0.57086616,0.914,30.792,0.0,0.0,-65.41990230084345,-17.208249119119003,154.53173009398722,Before Launch
30,2025-04-28 00:14:25,1.283,-0.16732284,0.456,30.792,0.0,0.0,-72.1944878251561,-15.659342802585488,161.93347346431108,Before Launch
31,2025-04-28 00:14:25,1.329,0.45275592000000003,0.475,30.795,0.0,0.0,-80.43591292745008,-13.627720111096014,170.90867972466688,Before Launch
32,2025-04-28 00:14:25,1.372,-0.15419948,0.123,30.797,0.0,0.0,-82.8233864654432,-12.987648307503198,173.52377016885617,Before Launch
33,2025-04-28 00:14:25,1.415,0.7808399199999999,1.795,30.78,0.0,0.0,-85.70771435474057,-12.176581066563452,176.72152583436255,Before Launch
34,2025-04-28 00:14:25,1.457,-1.37139112,-0.196,30.802,0.0,0.0,-86.58426803408094,-11.92669198038958,177.68605541799084,Before Launch
35,2025-04-28 00:14:25,1.5,-0.63320212,0.15,30.802,0.0,0.0,-87.64855654236001,-11.564111089348142,178.85141493512577,Before Launch
36,2025-04-28 00:14:25,1.542,0.43307088,1.014,30.787,0.0,0.0,-87.9723771692474,-11.439686543925136,179.2191608000556,Before Launch
37,2025-04-28 00:14:25,1.585,-1.02362208,0.324,30.795,0.0,0.0,-88.38229455828329,-11.300225952219598,179.62531986956495,Before Launch
38,2025-04-28 00:14:25,1.629,0.08530183999999999,0.819,30.795,0.0,0.0,-88.49599330780705,-11.30472555589776,179.75376594279112,Before Launch
39,2025-04-28 00:14:25,1.671,-0.55446196,-0.251,30.785,0.0,0.0,-88.63644972713344,-11.413769536057288,179.92704563474328,Before Launch
40,2025-04-28 00:14:25,1.714,-0.16732284,1.364,30.792,0.0,0.0,-88.66931981052105,-11.439710676394633,179.98631165272465,Before Launch
41,2025-04-28 00:14:25,1.757,0.30183728,0.082,30.782,0.0,0.0,-88.72364357860816,-11.43433801369633,180.05531714245726,Before Launch
42,2025-04-28 00:14:25,1.799,-0.40354332,0.8,30.797,0.0,0.0,-88.75932826239888,-11.42480820055899,180.06841000746164,Before Launch
43,2025-04-28 00:14:25,1.842,-1.24015752,-0.092,30.807,0.0,0.0,-88.78339110052637,-11.442677255050818,180.07883091847256,Before Launch
44,2025-04-28 00:14:25,1.884,-0.77427824,0.0,30.797,0.0,0.0,-88.79890603663607,-11.397235941886228,180.10025261739233,Before Launch
45,2025-04-28 00:14:25,1.927,0.45275592000000003,0.342,30.792,0.0,0.0,-88.79186612057438,-11.27502390962738,180.08031087031983,Before Launch
46,2025-04-28 00:14:25,1.969,-0.15419948,0.919,30.8,0.0,0.0,-88.8240269417967,-11.30721518024165,180.09333401095242,Before Launch
47,2025-04-28 00:14:25,2.012,0.21325460000000002,0.373,30.8,0.0,0.0,-88.81395846024992,-11.344262402760716,180.0747331002688,Before Launch
48,2025-04-28 00:14:25,2.055,-0.036089239999999995,0.687,30.787,0.0,0.0,-88.80230441431095,-11.343661676720574,180.08250342066535,Before Launch
49,2025-04-28 00:14:26,2.097,-1.00393704,-1.373,30.802,0.0,0.0,-88.79174581315833,-11.54011413945992,180.05908400449098,Before Launch
50,2025-04-28 00:14:26,2.14,-1.37139112,-0.781,30.797,0.0,0.0,-88.80167233742674,-11.974493104973869,180.0444084491588,Before Launch
51,2025-04-28 00:14:26,2.191,-0.89238848,-1.479,30.8,0.0,0.0,-88.78550628263353,-12.106751210482322,180.03008005718203,Before Launch
52,2025-04-28 00:14:26,2.235,-0.63320212,-0.666,30.802,0.0,0.0,-88.77774635303321,-12.133449681093404,180.03151740310662,Before Launch
53,2025-04-28 00:14:26,2.277,0.20341208,0.131,30.792,0.0,0.0,-88.7489469817673,-12.186609460456697,180.0231318716244,Before Launch
54,2025-04-28 00:14:26,2.32,-0.5249344,-1.015,30.805,0.0,0.0,-88.78153655167957,-12.124697796873255,180.03438704509657,Before Launch
55,2025-04-28 00:14:26,2.364,0.9514436,1.035,30.8,0.0,0.0,-88.78831719407897,-12.057751951226445,180.0415631062038,Before Launch
56,2025-04-28 00:14:26,2.406,0.70209976,0.232,30.797,0.0,0.0,-88.7856434805024,-11.7523729592273,180.050986912674,Before Launch
57,2025-04-28 00:14:26,2.449,0.08530183999999999,0.222,30.795,0.0,0.0,-88.79706218171343,-11.719816728838433,180.0396520991221,Before Launch
58,2025-04-28 00:14:26,2.491,0.20341208,-0.537,30.792,0.0,0.0,-88.79460336658909,-11.313651437468996,180.03173088600505,Before Launch
59,2025-04-28 00:14:26,2.534,-0.16732284,1.118,30.792,0.0,0.0,-88.78817000667208,-11.038844684128144,180.0463869203552,Before Launch
60,2025-04-28 00:14:26,2.576,-0.18700788000000002,0.415,30.785,0.0,0.0,-88.79213676324791,-10.630630535408553,180.0634509377267,Before Launch
61,2025-04-28 00:14:26,2.619,0.5839895199999999,0.14,30.8,0.0,0.0,-88.77950493620533,-10.39925923158191,180.05394424628594,Before Launch
62,2025-04-28 00:14:26,2.662,0.57086616,1.48,30.792,0.0,0.0,-88.75779836488147,-9.873990848239725,180.0727245437206,Before Launch
63,2025-04-28 00:14:26,2.704,0.21325460000000002,0.119,30.8,0.0,0.0,-88.78381965425768,-9.701779657119772,180.0979579905168,Before Launch
64,2025-04-28 00:14:26,2.753,-0.036089239999999995,0.479,30.797,0.0,0.0,-88.7557772444117,-9.554084013445861,180.06794189000163,Before Launch
65,2025-04-28 00:14:26,2.8,0.33464568,0.462,30.797,0.0,0.0,-88.76762659555975,-9.61468375046565,180.0769137797841,Before Launch
66,2025-04-28 00:14:26,2.842,-1.00393704,-1.203,30.802,0.0,0.0,-88.75570081334284,-9.756174421878994,180.08973333503604,Before Launch
67,2025-04-28 00:14:26,2.885,0.062335959999999996,0.429,30.792,0.0,0.0,-88.78528179182737,-10.203956528382777,180.06017921466602,Before Launch
68,2025-04-28 00:14:26,2.928,-0.26574804,0.897,30.802,0.0,0.0,-88.78283975792193,-10.481403909424287,180.0517698964786,Before Launch
69,2025-04-28 00:14:26,2.97,-0.77427824,0.0,30.797,0.0,0.0,-88.76932651838702,-11.119564515447177,180.02624940006064,Before Launch
70,2025-04-28 00:14:26,3.013,0.84317588,0.36,30.8,0.0,0.0,-88.75301202262759,-11.506252643831242,180.02640629545286,Before Launch
71,2025-04-28 00:14:26,3.055,-0.26574804,-0.103,30.802,0.0,0.0,-88.77716201642443,-12.049084803300039,180.0008241314322,Before Launch
72,2025-04-28 00:14:27,3.098,0.35433072,0.13,30.805,0.0,0.0,-88.79177859677735,-12.204266404458307,180.0113350009413,Before Launch
73,2025-04-28 00:14:27,3.148,-1.12204728,-0.994,30.805,0.0,0.0,-88.78618803695944,-12.248382872224953,179.97973498585696,Before Launch
74,2025-04-28 00:14:27,3.193,-0.5249344,0.437,30.8,0.0,0.0,-88.74162716555279,-12.101722027257967,180.00502182728846,Before Launch
