n,Datetime (UTC),Timestamp (s),Altitude (ft),Velocity (ft/s),Temperature (C),Longitude,Latitude,Roll (°),Pitch (°),Yaw (°),Flag
0,2025-05-03 22:27:44,0.177,0.62664044,,26.868,-1,-1,28.272420683359766,-28.711699956163844,28.415186914997683,Before Launch
1,2025-05-03 22:27:44,1.474,0.58070868,,26.873,-1,-1,35.59024102185806,-35.859537538592676,35.64071765335757,Before Launch
2,2025-05-03 22:27:44,1.53,2.26706044,,26.844,-1,-1,41.00318242952923,-41.080835724321105,40.95603838606576,Before Launch
3,2025-05-03 22:27:44,1.578,1.1548556799999998,,26.876,-1,-1,-6.71256312904476,-21.19895215680696,112.02786615876573,Before Launch
4,2025-05-03 22:27:44,1.637,1.06299216,,26.866,-1,-1,-29.29326072895401,-11.576192083437983,145.96560403652197,Before Launch
5,2025-05-03 22:27:44,1.704,0.81364832,,26.873,-1,-1,-40.40594446064747,-6.7683736728584085,162.78511619240334,Before Launch
6,2025-05-03 22:27:44,1.864,1.26640424,,26.883,-1,-1,-46.94797039887876,-3.896197291725258,172.7153661452341,Before Launch
7,2025-05-03 22:27:44,1.929,0.53805776,,26.863,-1,-1,-49.406293615281605,-2.9159556204391985,176.2027732547575,Before Launch
8,2025-05-03 22:27:44,2.011,0.86614176,,26.863,-1,-1,-50.305827636747686,-2.5691336828664015,177.58013907516474,Before Launch
9,2025-05-03 22:27:44,2.115,0.49868767999999997,,26.886,-1,-1,-50.75743414722063,-2.2983044065434033,178.3279102602174,Before Launch
10,2025-05-03 22:27:44,2.169,0.64632548,,26.881,-1,-1,-50.81788363663253,-2.2459039304658766,178.44166664300423,Before Launch
11,2025-05-03 22:27:44,2.213,1.38451448,,26.876,-1,-1,-50.86846645501621,-2.1679736391287325,178.60318998530641,Before Launch
12,2025-05-03 22:27:44,2.257,0.53805776,,26.878,-1,-1,-50.888527164414135,-2.138766216347571,178.6687565855431,Before Launch
13,2025-05-03 22:27:44,2.314,0.86614176,,26.868,-1,-1,-50.85877005052584,-2.1331358706528274,178.70967859561168,Before Launch
