n,Datetime (UTC),Timestamp (s),Altitude (ft),Velocity (ft/s),Temperature (C),Longitude,Latitude,Roll (°),Pitch (°),Yaw (°),Flag
0,2025-04-27 23:59:24,0.004,0.40682416,,28.744,-1,-1,0.0,0.0,0.0,Before Launch
1,2025-04-27 23:59:24,0.046,0.40682416,,28.744,-1,-1,0.0,0.0,0.0,Before Launch
2,2025-04-27 23:59:24,0.089,-0.74146984,,28.744,-1,-1,0.0,0.0,0.0,Before Launch
3,2025-04-27 23:59:24,0.131,0.40682416,,28.744,-1,-1,0.0,0.0,0.0,Before Launch
4,2025-04-27 23:59:24,0.173,-2.02755912,,28.749,-1,-1,0.0,0.0,0.0,Before Launch
5,2025-04-27 23:59:24,0.216,-1.3123360000000002,,28.742,-1,-1,0.0,0.0,0.0,Before Launch
6,2025-04-27 23:59:24,0.258,-1.79790032,,28.744,-1,-1,0.0,0.0,0.0,Before Launch
7,2025-04-27 23:59:24,0.3,0.40682416,,28.744,-1,-1,0.0,0.0,0.0,Before Launch
8,2025-04-27 23:59:24,0.343,-0.06889764000000001,,28.747,-1,-1,0.0,0.0,0.0,Before Launch
9,2025-04-27 23:59:24,0.385,-0.13451444,,28.717,-1,-1,0.0,0.0,0.0,Before Launch
10,2025-04-27 23:59:24,0.427,0.40026248,,28.737,-1,-1,0.0,0.0,0.0,Before Launch
11,2025-04-27 23:59:24,0.47,-0.45603676000000004,,28.739,-1,-1,0.0,0.0,0.0,Before Launch
12,2025-04-27 23:59:24,0.513,-0.5774278399999999,,28.744,-1,-1,0.0,0.0,0.0,Before Launch
13,2025-04-27 23:59:24,0.555,-0.45603676000000004,,28.739,-1,-1,0.0,0.0,0.0,Before Launch
14,2025-04-27 23:59:24,0.598,0.8858268,,28.734,-1,-1,0.0,0.0,0.0,Before Launch
15,2025-04-27 23:59:24,0.64,-0.08858268,,28.739,-1,-1,0.0,0.0,0.0,Before Launch
16,2025-04-27 23:59:24,0.682,1.13517064,,28.737,-1,-1,0.0,0.0,0.0,Before Launch
17,2025-04-27 23:59:24,0.725,-0.32808400000000004,,28.744,-1,-1,0.0,0.0,0.0,Before Launch
18,2025-04-27 23:59:24,0.767,-0.20669292,,28.742,-1,-1,0.0,0.0,0.0,Before Launch
19,2025-04-27 23:59:24,0.809,-0.06889764000000001,,28.739,-1,-1,0.0,0.0,0.0,Before Launch
20,2025-04-27 23:59:24,0.852,0.52821524,,28.742,0.0,0.0,0.0,0.0,0.0,Before Launch
21,2025-04-27 23:59:24,0.894,0.03937008,,28.744,0.0,0.0,0.0,0.0,0.0,Before Launch
22,2025-04-27 23:59:24,0.937,-1.43044624,,28.749,0.0,0.0,0.0,0.0,0.0,Before Launch
23,2025-04-27 23:59:25,0.979,-1.19094492,,28.739,0.0,0.0,0.0,0.0,0.0,Before Launch
24,2025-04-27 23:59:25,1.022,-0.69553808,,28.744,0.0,0.0,32.77846349996301,-32.87992631881255,32.74041431928318,Before Launch
25,2025-04-27 23:59:25,1.07,-0.43635172,-0.791,28.747,0.0,0.0,40.81332282619825,-40.8720026569411,40.76956144147317,Before Launch
26,2025-04-27 23:59:25,1.114,0.52821524,0.114,28.742,0.0,0.0,42.19617733639388,-42.22139213489679,42.14403693265251,Before Launch
27,2025-04-27 23:59:25,1.157,-0.72506564,0.015,28.729,0.0,0.0,-23.620743002045135,-24.34573674011928,112.0366652792089,Before Launch
28,2025-04-27 23:59:25,1.199,-0.32808400000000004,-0.688,28.744,0.0,0.0,-42.276553122568174,-19.32979979346039,131.89882974725495,Before Launch
29,2025-04-27 23:59:25,1.242,0.29855644,2.176,28.747,0.0,0.0,-64.62615639118296,-13.526829326618685,155.61620780188045,Before Launch
30,2025-04-27 23:59:25,1.285,0.9973753599999999,2.161,28.732,0.0,0.0,-71.21983521057795,-11.885971746028485,162.61258534290482,Before Launch
31,2025-04-27 23:59:25,1.327,-0.32808400000000004,1.375,28.744,0.0,0.0,-79.28651809564057,-9.807238551043987,171.206416323717,Before Launch
32,2025-04-27 23:59:25,1.369,-0.79724412,-1.126,28.754,0.0,0.0,-81.68895334917238,-9.140339023847277,173.75516229507775,Before Launch
33,2025-04-27 23:59:25,1.412,-0.5577428,-0.457,28.727,0.0,0.0,-84.66226964738281,-8.476779350971078,176.8947874988364,Before Launch
34,2025-04-27 23:59:25,1.454,-0.5577428,-0.396,28.749,0.0,0.0,-85.59087996110429,-8.234810521926018,177.8363488434119,Before Launch
35,2025-04-27 23:59:25,1.497,0.03937008,-0.337,28.744,0.0,0.0,-86.64024576412439,-7.766357424241914,179.03259637497143,Before Launch
36,2025-04-27 23:59:25,1.54,-0.80708664,-0.328,28.729,0.0,0.0,-86.94362474877462,-7.636951200854232,179.39438192695775,Before Launch
37,2025-04-27 23:59:25,1.582,-0.19028872,0.362,28.749,0.0,0.0,-87.31025602312776,-7.606816470515246,179.79906217831007,Before Launch
38,2025-04-27 23:59:25,1.625,-0.5577428,-0.095,28.749,0.0,0.0,-87.43434606447076,-7.629019748065234,179.9166184561607,Before Launch
39,2025-04-27 23:59:25,1.667,-0.5577428,-1.35,28.749,0.0,0.0,-87.58422782899595,-7.660668702297666,180.07313213171332,Before Launch
40,2025-04-27 23:59:25,1.71,-0.80708664,-0.671,28.747,0.0,0.0,-87.63100340129384,-7.648152063480237,180.1125298447446,Before Launch
41,2025-04-27 23:59:25,1.752,0.54790028,-0.549,28.749,0.0,0.0,-87.67951394741638,-7.67147190783648,180.166080375943,Before Launch
42,2025-04-27 23:59:25,1.794,-0.80708664,-0.448,28.747,0.0,0.0,-87.69187662453282,-7.486453261980576,180.19147709640075,Before Launch
43,2025-04-27 23:59:25,1.837,-0.19028872,0.015,28.749,0.0,0.0,-87.72174994046932,-7.211015649307565,180.19754780342276,Before Launch
44,2025-04-27 23:59:25,1.879,-0.9055118400000001,-0.782,28.757,0.0,0.0,-87.72695287936598,-7.128471675618406,180.21153763144466,Before Launch
45,2025-04-27 23:59:25,1.921,-0.30839896,-0.783,28.752,0.0,0.0,-87.72817538902132,-7.11522907183946,180.21085344599436,Before Launch
46,2025-04-27 23:59:26,1.964,-0.7053806,-0.696,28.752,0.0,0.0,-87.74572318306345,-7.317561974218899,180.22467496450838,Before Launch
47,2025-04-27 23:59:26,2.007,-1.29265096,0.129,28.749,0.0,0.0,-87.73900439291653,-7.568417918244326,180.21371637473334,Before Launch
48,2025-04-27 23:59:26,2.049,-0.9251968799999999,0.248,28.749,0.0,0.0,-87.75484184621787,-7.663424298051148,180.18893762814756,Before Launch
49,2025-04-27 23:59:26,2.092,0.66601052,1.272,28.747,0.0,0.0,-87.7459285767578,-7.764269890469048,180.18436640718576,Before Launch
50,2025-04-27 23:59:26,2.135,-0.43635172,0.0,28.747,0.0,0.0,-87.75620948074398,-7.807060260584505,180.18046622215837,Before Launch
51,2025-04-27 23:59:26,2.183,-0.80708664,-1.249,28.747,0.0,0.0,-87.78074409658228,-7.893765696255398,180.17738035225085,Before Launch
52,2025-04-27 23:59:26,2.228,0.29855644,0.956,28.747,0.0,0.0,-87.75988232791535,-7.958318322524536,180.18732387557,Before Launch
53,2025-04-27 23:59:26,2.272,-0.9251968799999999,-0.556,28.749,0.0,0.0,-87.73909096671598,-7.978414457357921,180.17146242151256,Before Launch
54,2025-04-27 23:59:26,2.315,-0.79724412,-1.021,28.754,0.0,0.0,-87.74484535974065,-8.032553057470588,180.15453399537176,Before Launch
55,2025-04-27 23:59:26,2.358,-0.6758530399999999,-1.559,28.752,0.0,0.0,-87.75304398231833,-8.022434040992563,180.1498731608558,Before Launch
56,2025-04-27 23:59:26,2.4,-0.19028872,0.128,28.749,0.0,0.0,-87.75916614681171,-8.03702383738148,180.15096374151204,Before Launch
57,2025-04-27 23:59:26,2.443,0.48228348,1.191,28.719,0.0,0.0,-87.74273307090134,-8.049139201484861,180.13552464238424,Before Launch
58,2025-04-27 23:59:26,2.486,-1.53215228,-0.907,28.754,0.0,0.0,-87.75881431212765,-8.079435290235851,180.15198618703187,Before Launch
59,2025-04-27 23:59:26,2.528,-0.6758530399999999,-0.11,28.752,0.0,0.0,-87.73581960730874,-8.138153557401521,180.12207473063626,Before Launch
60,2025-04-27 23:59:26,2.579,0.25262468,0.197,28.724,0.0,0.0,-87.72221182844898,-8.146596158213288,180.11324090201202,Before Launch
61,2025-04-27 23:59:26,2.622,1.13517064,1.795,28.737,0.0,0.0,-87.71656626332121,-8.140216797825584,180.11853917365247,Before Launch
62,2025-04-27 23:59:26,2.665,-1.17454072,-0.909,28.747,0.0,0.0,-87.70368203961904,-8.13366822022655,180.11432579581867,Before Launch
63,2025-04-27 23:59:26,2.708,0.40026248,0.885,28.737,0.0,0.0,-87.71968351379837,-8.104417755702956,180.1229411861985,Before Launch
