n,Datetime (UTC),Timestamp (s),Altitude (ft),Velocity (ft/s),Temperature (C),Longitude,Latitude,Roll (°),Pitch (°),Yaw (°),Flag
0,2025-05-04 12:01:26,0.004,5.085302,,21.032,-1,-1,0.0,0.0,0.0,Before Launch
1,2025-05-04 12:01:26,0.046,5.59711304,,21.037,-1,-1,0.0,0.0,0.0,During Launch
2,2025-05-04 12:01:26,0.089,4.73425212,,21.039,-1,-1,0.0,0.0,0.0,During Launch
3,2025-05-04 12:01:26,0.132,5.82677184,,21.032,-1,-1,0.0,0.0,0.0,During Launch
4,2025-05-04 12:01:26,0.174,4.96391092,,21.034,-1,-1,0.0,0.0,0.0,During Launch
5,2025-05-04 12:01:26,0.217,3.9698164,,21.032,-1,-1,0.0,0.0,0.0,During Launch
6,2025-05-04 12:01:26,0.26,5.22637812,,21.037,-1,-1,0.0,0.0,0.0,During Launch
7,2025-05-04 12:01:26,0.303,4.222441079999999,,21.034,-1,-1,0.0,0.0,0.0,During Launch
8,2025-05-04 12:01:26,0.345,4.593176,,21.034,-1,-1,0.0,0.0,0.0,During Launch
9,2025-05-04 12:01:26,0.388,6.31889784,,21.029,-1,-1,0.0,0.0,0.0,During Launch
10,2025-05-04 12:01:26,0.431,4.83267732,,21.029,-1,-1,0.0,0.0,0.0,During Launch
11,2025-05-04 12:01:26,0.473,5.20669308,,21.029,-1,-1,0.0,0.0,0.0,During Launch
12,2025-05-04 12:01:26,0.516,6.45013144,,21.034,-1,-1,0.0,0.0,0.0,During Launch
13,2025-05-04 12:01:26,0.558,5.33792668,,21.034,-1,-1,0.0,0.0,0.0,During Launch
14,2025-05-04 12:01:26,0.601,5.22637812,,21.037,-1,-1,0.0,0.0,0.0,During Launch
15,2025-05-04 12:01:26,0.644,4.593176,,21.034,-1,-1,0.0,0.0,0.0,During Launch
16,2025-05-04 12:01:26,0.687,5.4461943999999995,,21.024,-1,-1,0.0,0.0,0.0,During Launch
17,2025-05-04 12:01:26,0.73,4.71456708,,21.032,-1,-1,0.0,0.0,0.0,During Launch
18,2025-05-04 12:01:27,0.773,4.71456708,,21.034,-1,-1,0.0,0.0,0.0,During Launch
19,2025-05-04 12:01:27,0.816,3.8713911999999997,,21.042,-1,-1,0.0,0.0,0.0,During Launch
20,2025-05-04 12:01:27,0.859,3.7401576,,21.037,-86.61432583333334,34.76374533333333,0.0,0.0,0.0,During Launch
21,2025-05-04 12:01:27,0.903,4.73425212,,21.039,-86.61432583333334,34.76374533333333,0.0,0.0,0.0,During Launch
22,2025-05-04 12:01:27,0.946,4.73425212,,21.039,-86.61432583333334,34.76374533333333,0.0,0.0,0.0,During Launch
23,2025-05-04 12:01:27,0.989,3.7401576,,21.037,-86.61432583333334,34.76374533333333,0.0,0.0,0.0,During Launch
24,2025-05-04 12:01:27,1.031,3.8713911999999997,,21.042,-86.61432583333334,34.76374533333333,7.203944409844368,-6.152850197716032,6.750314432711478,During Launch
25,2025-05-04 12:01:27,1.082,4.865485720000001,-0.204,21.044,-86.61432583333334,34.76374533333333,23.18279765865679,-23.41159355572634,22.91300988108471,During Launch
26,2025-05-04 12:01:27,1.127,3.1463255599999997,-2.267,21.049,-86.61432583333334,34.76374533333333,-4.393029619229637,19.485545329473748,-26.13885784305252,During Launch
