n,Datetime (UTC),Timestamp (s),Altitude (m),Temperature (C),Longitude,Latitude,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Flag
0,2025-03-13 23:20:49,0.981,-0.056,21.491,-1,-1,-1,-1,-1,Before Launch
1,2025-03-13 23:20:50,2.062,0.037,21.493,-1,-1,-1,-1,-1,Before Launch
2,2025-03-13 23:20:51,3.144,-0.079,21.486,-1,-1,-1,-1,-1,Before Launch
3,2025-03-13 23:20:52,4.225,-0.398,21.496,-1,-1,-1,-1,-1,Before Launch
4,2025-03-13 23:20:53,5.306,-0.329,21.498,-1,-1,-1,-1,-1,Before Launch
5,2025-03-13 23:20:55,6.787,-0.149,21.488,-1,-1,-1,-1,-1,Before Launch
6,2025-03-13 23:20:56,7.868,0.088,21.493,-1,-1,-1,-1,-1,Before Launch
7,2025-03-13 23:20:57,8.949,-0.321,21.498,-1,-1,-1,-1,-1,Before Launch
8,2025-03-13 23:20:58,10.031,-0.06,21.488,-1,-1,-1,-1,-1,Before Launch
9,2025-03-13 23:20:59,11.112,-0.149,21.496,-1,-1,-1,-1,-1,Before Launch
10,2025-03-13 23:21:01,12.593,0.11,21.508,-1,-1,-1,-1,-1,Before Launch
11,2025-03-13 23:21:02,13.674,0.208,21.523,-1,-1,-1,-1,-1,Before Launch
12,2025-03-13 23:21:03,14.755,0.049,21.523,-1,-1,-1,-1,-1,Before Launch
13,2025-03-13 23:21:04,15.836,-0.269,21.528,-1,-1,-1,-1,-1,Before Launch
14,2025-03-13 23:21:05,16.917,-0.186,21.528,-1,-1,-1,-1,-1,Before Launch
15,2025-03-13 23:21:07,18.399,-0.139,21.521,-1,-1,-1,-1,-1,Before Launch
16,2025-03-13 23:21:08,19.48,-0.436,21.523,-1,-1,-1,-1,-1,Before Launch
17,2025-03-13 23:21:09,20.561,-0.385,21.523,-1,-1,-1,-1,-1,Before Launch
18,2025-03-13 23:21:10,21.642,0.3,21.515,-1,-1,-1,-1,-1,Before Launch
19,2025-03-13 23:21:11,22.723,0.444,21.518,-1,-1,-1,-1,-1,Before Launch
20,2025-03-13 23:21:12,24.204,0.259,21.528,-1,-1,-1,-1,-1,Before Launch
21,2025-03-13 23:21:13,25.285,-0.395,21.543,-1,-1,-1,-1,-1,Before Launch
22,2025-03-13 23:21:15,26.366,-0.478,21.548,-1,-1,-1,-1,-1,Before Launch
23,2025-03-13 23:21:16,27.447,-0.343,21.543,-1,-1,-1,-1,-1,Before Launch
24,2025-03-13 23:21:17,28.529,-0.283,21.528,-1,-1,-1,-1,-1,Before Launch
25,2025-03-13 23:21:18,30.01,-0.325,21.53,-1,-1,-1,-1,-1,Before Launch
26,2025-03-13 23:21:19,31.094,-0.307,21.528,-1,-1,-1,-1,-1,Before Launch
27,2025-03-13 23:21:20,32.178,-0.214,21.533,-1,-1,-1,-1,-1,Before Launch
28,2025-03-13 23:21:21,33.26,-0.451,21.528,-1,-1,-1,-1,-1,Before Launch
29,2025-03-13 23:21:23,34.341,-0.372,21.528,-1,-1,-1,-1,-1,Before Launch
30,2025-03-13 23:21:24,35.823,-0.456,21.533,-1,-1,-1,-1,-1,Before Launch
31,2025-03-13 23:21:25,36.904,-0.464,21.54,-1,-1,-1,-1,-1,Before Launch
32,2025-03-13 23:21:26,37.985,-0.506,21.533,-1,-1,-1,-1,-1,Before Launch
33,2025-03-13 23:21:27,39.066,-0.478,21.535,-1,-1,-1,-1,-1,Before Launch
34,2025-03-13 23:21:28,40.147,-0.358,21.538,-1,-1,-1,-1,-1,Before Launch
35,2025-03-13 23:21:30,41.628,-0.553,21.528,-1,-1,-1,-1,-1,Before Launch
36,2025-03-13 23:21:31,42.71,-0.237,21.528,-1,-1,-1,-1,-1,Before Launch
37,2025-03-13 23:21:32,43.791,-0.241,21.523,-1,-1,-1,-1,-1,Before Launch
38,2025-03-13 23:21:33,44.872,-0.562,21.525,-1,-1,-1,-1,-1,Before Launch
39,2025-03-13 23:21:34,45.954,-0.34,21.528,-1,-1,-1,-1,-1,Before Launch
40,2025-03-13 23:21:36,47.435,-0.441,21.518,-1,-1,-1,-1,-1,Before Launch
41,2025-03-13 23:21:37,48.516,-0.723,21.523,-1,-1,-1,-1,-1,Before Launch
42,2025-03-13 23:21:38,49.597,-0.547,21.518,-1,-1,-1,-1,-1,Before Launch
43,2025-03-13 23:21:39,50.679,-0.519,21.518,-1,-1,-1,-1,-1,Before Launch
44,2025-03-13 23:21:40,51.76,-0.52,21.518,-1,-1,-1,-1,-1,Before Launch
45,2025-03-13 23:21:41,53.241,-0.357,21.515,-1,-1,-1,-1,-1,Before Launch
46,2025-03-13 23:21:43,54.322,-0.556,21.518,-1,-1,-1,-1,-1,Before Launch
47,2025-03-13 23:21:44,55.403,-0.256,21.513,-1,-1,-1,-1,-1,Before Launch
48,2025-03-13 23:21:45,56.484,-0.538,21.503,-1,-1,-1,-1,-1,Before Launch
49,2025-03-13 23:21:46,57.566,-0.46,21.515,-1,-1,-1,-1,-1,Before Launch
50,2025-03-13 23:21:47,59.047,-0.529,21.503,-1,-1,-1,-1,-1,Before Launch
