n,Datetime (UTC),Timestamp (s),Altitude (ft),Velocity (ft/s),Temperature (C),Longitude,Latitude,Roll (°),Pitch (°),Flag
0,2025-03-13 23:53:34,0.981,-0.9547244399999999,,21.159,-1,-1,-1,-1,Before Launch
1,2025-03-13 23:53:35,2.062,-0.98097116,4.30118124,21.159,-1,-1,-1,-1,Before Launch
2,2025-03-13 23:53:36,3.143,-0.51181104,5.413386,21.161,-1,-1,-1,-1,Before Launch
3,2025-03-13 23:53:37,4.224,-0.8891076400000001,1.58136488,21.159,-1,-1,-1,-1,Before Launch
4,2025-03-13 23:53:38,5.305,-1.2139108,3.40551192,21.166,-1,-1,-1,-1,Before Launch
5,2025-03-13 23:53:40,6.786,-0.30183728,4.0912074800000005,21.164,-1,-1,-1,-1,Before Launch
6,2025-03-13 23:53:41,7.867,-0.6824147199999999,0.61679792,21.159,-1,-1,-1,-1,Before Launch
7,2025-03-13 23:53:42,8.947,-1.1384514799999998,2.20144364,21.166,-1,-1,-1,-1,Before Launch
8,2025-03-13 23:53:43,10.028,-0.7545932000000001,5.94816292,21.169,-1,-1,-1,-1,Before Launch
9,2025-03-13 23:53:44,11.11,-0.47244095999999997,3.99934396,21.176,-1,-1,-1,-1,Before Launch
10,2025-03-13 23:53:45,12.591,0.4429134,2.214567,21.179,-1,-1,-1,-1,Before Launch
11,2025-03-13 23:53:47,13.671,0.9744094799999999,-0.95800528,21.174,-1,-1,-1,-1,Before Launch
12,2025-03-13 23:53:48,14.752,1.4435696,-3.50065628,21.169,-1,-1,-1,-1,Before Launch
13,2025-03-13 23:53:49,15.834,0.89895016,-7.65748056,21.181,-1,-1,-1,-1,During Launch
14,2025-03-13 23:53:50,16.915,1.01377956,-3.8713911999999997,21.194,-1,-1,-1,-1,During Launch
15,2025-03-13 23:53:51,18.396,-1.32545936,-5.167323,21.209,-1,-1,-1,-1,During Launch
16,2025-03-13 23:53:52,19.477,-1.32217852,6.0531498,21.201,-1,-1,-1,-1,During Launch
17,2025-03-13 23:53:53,20.558,-1.53215228,5.6102364,21.199,-1,-1,-1,-1,During Launch
18,2025-03-13 23:53:54,21.639,-1.29265096,7.454068479999999,21.201,-1,-1,-1,-1,During Launch
19,2025-03-13 23:53:56,22.72,-1.4435696,5.58398968,21.204,-1,-1,-1,-1,During Launch
20,2025-03-13 23:53:57,24.201,-0.8366142,4.32742796,21.204,-1,-1,-1,-1,During Launch
21,2025-03-13 23:53:58,25.282,-1.48622052,2.51312344,21.201,-1,-1,-1,-1,During Launch
22,2025-03-13 23:53:59,26.363,-1.2795276,7.178477920000001,21.204,-1,-1,-1,-1,During Launch
23,2025-03-13 23:54:00,27.444,-1.23359584,5.92847788,21.204,-1,-1,-1,-1,During Launch
24,2025-03-13 23:54:01,28.529,-2.09645676,3.90091876,21.206,-1,-1,-1,-1,After Launch
25,2025-03-13 23:54:12,39.073,-2.050525,0.48556432,21.196,-1,-1,-1,-1,After Launch
