n,Datetime (UTC),Timestamp (s),Altitude (ft),Velocity (ft/s),Temperature (C),Longitude,Latitude,Roll (°),Pitch (°),Yaw (°),Flag
0,2025-03-20 23:41:48,0.004,1.62729664,,24.242,-1,-1,0.0,0.0,0.0,Before Launch
1,2025-03-20 23:41:48,0.046,-0.19028872,,24.244,-1,-1,0.0,0.0,0.0,Before Launch
2,2025-03-20 23:41:48,0.09,1.8602362799999999,,24.232,-1,-1,0.0,0.0,0.0,Before Launch
3,2025-03-20 23:41:48,0.132,0.89895016,,24.242,-1,-1,0.0,0.0,0.0,Before Launch
4,2025-03-20 23:41:48,0.175,1.14501316,,24.239,-1,-1,0.0,0.0,0.0,Before Launch
5,2025-03-20 23:41:48,0.218,0.062335959999999996,,24.247,-1,-1,0.0,0.0,0.0,Before Launch
6,2025-03-20 23:41:48,0.26,1.52230976,,24.242,-119.749907,36.81429933333333,0.0,0.0,0.0,Before Launch
7,2025-03-20 23:41:48,0.303,-0.41994752,,24.249,-119.749907,36.81429933333333,0.0,0.0,0.0,Before Launch
8,2025-03-20 23:41:48,0.345,-0.9055118400000001,,24.252,-119.749907,36.81429933333333,0.0,0.0,0.0,Before Launch
9,2025-03-20 23:41:49,0.388,-0.78412076,,24.237,-119.749907,36.81429933333333,0.0,0.0,0.0,Before Launch
10,2025-03-20 23:41:49,0.43,0.42979004000000004,,24.247,-119.749907,36.81429933333333,0.0,0.0,0.0,Before Launch
11,2025-03-20 23:41:49,0.473,-0.19028872,,24.244,-119.749907,36.81429933333333,0.0,0.0,0.0,Before Launch
12,2025-03-20 23:41:49,0.515,0.9055118400000001,,24.244,-119.749907,36.81429933333333,0.0,0.0,0.0,Before Launch
13,2025-03-20 23:41:49,0.557,0.6725722,,24.249,-119.749907,36.81429933333333,0.0,0.0,0.0,Before Launch
14,2025-03-20 23:41:49,0.6,-0.55446196,,24.244,-119.749907,36.81429933333333,0.0,0.0,0.0,Before Launch
15,2025-03-20 23:41:49,0.642,0.7939632799999999,,24.247,-119.749907,36.81429933333333,0.0,0.0,0.0,Before Launch
16,2025-03-20 23:41:49,0.685,1.15813652,,24.247,-119.749907,36.81429933333333,0.0,0.0,0.0,Before Launch
17,2025-03-20 23:41:49,0.727,-0.05577428,,24.249,-119.749907,36.81429933333333,0.0,0.0,0.0,Before Launch
18,2025-03-20 23:41:49,0.77,1.64698168,,24.252,-119.749907,36.81429933333333,0.0,0.0,0.0,Before Launch
19,2025-03-20 23:41:49,0.812,-0.41666668,,24.252,-119.749907,36.81429933333333,0.0,0.0,0.0,Before Launch
20,2025-03-20 23:41:49,0.854,0.43307088,,24.254,-119.749907,36.81429933333333,0.0,0.0,0.0,Before Launch
