n,Datetime (UTC),Timestamp (s),Altitude (ft),Velocity (ft/s),Temperature (C),Longitude,Latitude,Roll (°),Pitch (°),Yaw (°),Flag
0,2025-05-01 02:18:19,0.21,3.5892389600000003,,25.372,-1,-1,23.24632584394479,-27.515146949163636,27.7118150908703,Before Launch
1,2025-05-01 02:18:19,1.635,2.84776912,,25.372,0.0,0.0,32.72746801596385,-35.17962054917375,35.4272060636341,Before Launch
2,2025-05-01 02:18:19,1.68,3.8385827999999997,,25.374,0.0,0.0,39.846475541588056,-40.65292083359468,40.90759312434896,Before Launch
3,2025-05-01 02:18:19,1.737,3.21850404,,25.372,0.0,0.0,102.28046068039531,35.0243560987345,-24.01896671205945,Before Launch
4,2025-05-01 02:18:19,1.791,2.60498696,,25.352,0.0,0.0,132.6178153661052,71.06682542355759,-55.14286957454224,Before Launch
5,2025-05-01 02:18:19,1.854,4.79658808,,25.307,0.0,0.0,146.93905464579913,88.83629173578312,-70.09131851708348,Before Launch
6,2025-05-01 02:18:20,1.935,2.82480324,,25.364,0.0,0.0,154.40487447490568,97.96969573356323,-77.60410782706913,Before Launch
7,2025-05-01 02:18:20,1.986,3.1660106,,25.372,0.0,0.0,156.81231779313336,100.9057522776533,-79.95988416202614,Before Launch
8,2025-05-01 02:18:20,2.092,5.85958024,,25.339,0.0,0.0,158.902942899182,103.76539402497113,-82.10924451828349,Before Launch
9,2025-05-01 02:18:20,2.151,3.9370079999999996,,25.304,0.0,0.0,159.70075543727492,104.97499221676716,-82.90917019836523,During Launch
10,2025-05-01 02:18:20,2.196,5.78740176,,25.309,0.0,0.0,160.20418955083235,105.6121674310967,-83.39977341134302,During Launch
11,2025-05-01 02:18:20,2.241,6.04002644,,25.372,0.0,0.0,160.44309463809967,106.0989825435849,-83.70062865204214,During Launch
12,2025-05-01 02:18:20,2.287,3.06430456,,25.377,0.0,0.0,160.56093599201614,106.4660449703287,-83.9715975941129,During Launch
13,2025-05-01 02:18:20,2.366,4.8129922800000005,,25.369,0.0,0.0,160.51796153009022,106.46621542115116,-84.0230239487861,During Launch
14,2025-05-01 02:18:20,2.412,4.13713924,,25.344,0.0,0.0,160.06954975907973,106.38988027019933,-83.99173649124177,During Launch
15,2025-05-01 02:18:20,2.459,3.07742792,,25.369,0.0,0.0,159.0863273601467,106.14751091814023,-83.83724363434501,During Launch
16,2025-05-01 02:18:20,2.514,2.95603684,,25.369,0.0,0.0,158.41187903523115,106.02948343833069,-83.68047660183458,During Launch
17,2025-05-01 02:18:20,2.564,4.3307088,,25.372,0.0,0.0,157.07923101430808,105.81097350039644,-83.33217057783594,During Launch
18,2025-05-01 02:18:20,2.612,4.70144372,,25.372,0.0,0.0,156.21699949096086,105.49015130563606,-83.16295772056809,During Launch
19,2025-05-01 02:18:20,2.658,4.18963268,,25.367,0.0,0.0,155.8273097188835,105.41956664124199,-83.08765166004568,During Launch
20,2025-05-01 02:18:20,2.704,4.05839908,,25.369,0.0,0.0,155.09036001532496,105.20239301334722,-82.977099141935,During Launch
21,2025-05-01 02:18:20,2.749,4.560367599999999,,25.367,0.0,0.0,154.67966864988708,105.10281738382156,-82.91542714304194,During Launch
22,2025-05-01 02:18:20,2.796,2.47375336,,25.372,0.0,0.0,154.09987824330707,104.91672391657433,-82.82374898294535,During Launch
23,2025-05-01 02:18:20,2.839,3.09711296,,25.374,0.0,0.0,153.87167614238058,104.86219393855592,-82.79822855278165,During Launch
24,2025-05-01 02:18:20,2.892,3.1167979999999997,,25.382,0.0,0.0,153.30004769995918,104.85392662370191,-82.68099565929272,During Launch
25,2025-05-01 02:18:21,2.938,4.0682416,0.176,25.372,0.0,0.0,152.70938657091486,104.75361966159913,-82.52072720462846,During Launch
26,2025-05-01 02:18:21,2.985,2.48687672,-0.267,25.379,0.0,0.0,152.40156535729187,104.60732128876352,-82.47019870762584,During Launch
27,2025-05-01 02:18:21,3.031,3.4481628399999997,-0.289,25.377,0.0,0.0,151.83440986264324,104.47532281278058,-82.45040782871396,During Launch
28,2025-05-01 02:18:21,3.074,2.74606308,-0.353,25.382,0.0,0.0,151.58275478139282,104.39735725788073,-82.51108646028592,During Launch
29,2025-05-01 02:18:21,3.122,3.21850404,0.461,25.372,0.0,0.0,150.6428274011662,104.30072457475053,-82.60142200158708,During Launch
30,2025-05-01 02:18:21,3.169,3.69750668,-0.836,25.377,0.0,0.0,150.18441971489213,104.21193255092147,-82.56570425157679,During Launch
31,2025-05-01 02:18:21,3.213,3.9698164,0.896,25.379,0.0,0.0,149.10337513245616,103.94329872854743,-82.41215235743725,During Launch
32,2025-05-01 02:18:21,3.26,3.22834656,0.049,25.379,0.0,0.0,148.8579157701994,103.83176172430795,-82.39298841987822,During Launch
33,2025-05-01 02:18:21,3.307,4.3307088,-1.258,25.372,0.0,0.0,149.45690322002935,103.7465762765394,-82.57425404925807,During Launch
34,2025-05-01 02:18:21,3.356,2.85761164,-0.896,25.379,0.0,0.0,150.4535035415332,103.74318679889336,-82.75948456582125,During Launch
35,2025-05-01 02:18:21,3.412,4.229002759999999,-1.282,25.382,0.0,0.0,152.57529071899685,104.24707677961172,-82.81767826841164,During Launch
36,2025-05-01 02:18:21,3.466,3.22834656,-2.295,25.377,0.0,0.0,154.02815520944168,104.68406109866447,-82.88404778497664,During Launch
37,2025-05-01 02:18:21,3.526,2.7263780399999997,-0.273,25.374,0.0,0.0,156.51348191911285,106.20749277097892,-82.75418842678033,During Launch
38,2025-05-01 02:18:21,3.57,2.85761164,-1.624,25.379,0.0,0.0,157.35435714260169,106.95733761635893,-82.65948651609484,During Launch
39,2025-05-01 02:18:21,3.623,1.74540688,-1.975,25.369,0.0,0.0,157.30522527743307,108.04600515324141,-82.2480823937203,During Launch
40,2025-05-01 02:18:21,3.672,3.1167979999999997,0.032,25.382,0.0,0.0,156.50395819121948,108.67096772910011,-81.74876330207019,During Launch
41,2025-05-01 02:18:21,3.721,3.09711296,0.117,25.374,0.0,0.0,155.9602338458242,108.86077761838835,-81.46846410576323,During Launch
42,2025-05-01 02:18:21,3.779,2.58530192,-1.437,25.367,0.0,0.0,154.72578472346973,109.06057674206338,-80.91778459430596,During Launch
43,2025-05-01 02:18:21,3.826,2.58530192,-1.743,25.369,0.0,0.0,153.61227050130307,109.10253626485687,-80.55082552132777,During Launch
44,2025-05-01 02:18:21,3.878,2.10301844,-1.71,25.369,0.0,0.0,152.4744227138048,108.96828338262625,-80.30676972446489,During Launch
45,2025-05-01 02:18:22,3.934,3.3169292399999994,-0.603,25.362,0.0,0.0,152.0049711515909,108.85947604657422,-80.25733313006803,During Launch
46,2025-05-01 02:18:22,3.979,4.93110252,0.301,25.367,0.0,0.0,151.1445423528529,108.6517772733075,-80.16272773917301,During Launch
47,2025-05-01 02:18:22,4.029,3.19553816,0.585,25.359,0.0,0.0,150.37482669359724,107.86511662788249,-80.28447147790455,During Launch
48,2025-05-01 02:18:22,4.085,3.9370079999999996,0.674,25.362,0.0,0.0,149.92143154959152,107.29018812811604,-80.39707899561598,During Launch
49,2025-05-01 02:18:22,4.136,2.82480324,-0.235,25.364,0.0,0.0,150.48884197981317,105.85043003539252,-81.05558674193199,During Launch
50,2025-05-01 02:18:22,4.188,2.706693,-1.089,25.354,0.0,0.0,150.69569510981472,104.06465840775199,-81.82292961979992,During Launch
51,2025-05-01 02:18:22,4.243,2.32283472,-0.13,25.369,0.0,0.0,150.58747482575757,103.33413514834675,-82.13216674215298,During Launch
52,2025-05-01 02:18:22,4.291,3.95997388,0.406,25.367,0.0,0.0,148.38356310461478,102.19417963001443,-82.51490593876598,During Launch
53,2025-05-01 02:18:22,4.336,2.45406832,-0.231,25.364,0.0,0.0,146.32167120768423,101.6928160248318,-82.59336129709224,During Launch
54,2025-05-01 02:18:22,4.383,3.07742792,-0.112,25.367,0.0,0.0,140.23506882732133,101.01988249544534,-82.7764372485912,During Launch
55,2025-05-01 02:18:22,4.431,2.82480324,-0.692,25.364,0.0,0.0,132.61583594117957,100.93321714773116,-82.38090082162506,During Launch
56,2025-05-01 02:18:22,4.492,3.4481628399999997,-0.408,25.359,0.0,0.0,128.38465688010535,100.55273743189696,-81.96525696898013,During Launch
57,2025-05-01 02:18:22,4.549,3.32677176,0.076,25.367,0.0,0.0,127.31004956794163,100.24668726066369,-81.95896393108598,During Launch
58,2025-05-01 02:18:22,4.6,2.0833334,-1.738,25.367,0.0,0.0,127.6186568157823,100.96497423148348,-82.35948107140396,During Launch
59,2025-05-01 02:18:22,4.646,2.6935696399999998,-0.127,25.359,0.0,0.0,129.59063349206204,101.93007153626921,-82.74578413472598,During Launch
60,2025-05-01 02:18:22,4.698,3.68766416,-0.421,25.362,0.0,0.0,131.7251834044923,103.28510480715572,-83.62003312943172,During Launch
61,2025-05-01 02:18:22,4.752,3.54658804,0.247,25.367,0.0,0.0,132.28098362905803,104.30532073454926,-83.74184315762967,During Launch
62,2025-05-01 02:18:22,4.805,4.13713924,1.103,25.362,0.0,0.0,132.0909106647083,106.18670643945202,-83.03842284024452,During Launch
63,2025-05-01 02:18:22,4.862,2.6935696399999998,-0.127,25.359,0.0,0.0,132.65864936820236,107.35146513891021,-82.49465730325694,During Launch
64,2025-05-01 02:18:22,4.91,2.45406832,0.551,25.364,0.0,0.0,131.92548948982142,110.11593010839074,-80.0236402204386,During Launch
65,2025-05-01 02:18:23,4.959,2.05380584,-0.826,25.349,0.0,0.0,130.51965156321344,111.28485482705439,-78.94284758876722,During Launch
66,2025-05-01 02:18:23,5.005,0.40682416,-2.095,25.337,0.0,0.0,124.8271678523616,111.92401019905815,-75.39574811071047,During Launch
67,2025-05-01 02:18:23,5.054,4.05511824,1.153,25.307,0.0,0.0,114.98953630408074,111.6089935528268,-71.45145426953451,During Launch
68,2025-05-01 02:18:23,5.114,1.5091864000000002,-0.835,25.329,0.0,0.0,110.27219891688557,111.09752696679507,-69.00851812110383,During Launch
69,2025-05-01 02:18:23,5.172,3.5104988,1.088,25.287,0.0,0.0,105.57156630976421,108.21438909279915,-65.54264333214536,During Launch
70,2025-05-01 02:18:23,5.221,0.12467191999999999,-2.48,25.319,0.0,0.0,103.28669288392815,104.5786772192916,-63.4815673333561,During Launch
71,2025-05-01 02:18:23,5.279,2.12926516,-2.155,25.277,0.0,0.0,100.6544991135356,101.94380874227842,-62.30921354541515,During Launch
72,2025-05-01 02:18:23,5.327,1.4370079199999999,-1.355,25.304,0.0,0.0,89.54393747022223,95.26659621725724,-60.53482243016318,During Launch
73,2025-05-01 02:18:23,5.384,1.43372708,-1.927,25.284,0.0,0.0,75.49730869480611,86.67104677765934,-57.219102051594476,During Launch
74,2025-05-01 02:18:23,5.448,-0.54790028,-2.571,25.299,0.0,0.0,64.8137595850866,78.59414037383337,-52.599788910078146,During Launch
75,2025-05-01 02:18:23,5.508,-0.0656168,-2.1,25.279,0.0,0.0,57.5433323136296,71.13956021612,-49.17934763291806,During Launch
76,2025-05-01 02:18:23,5.565,-0.07545932,-1.814,25.277,0.0,0.0,53.975564994740225,68.56365593765807,-48.15326794806995,During Launch
77,2025-05-01 02:18:23,5.615,0.79724412,-2.389,25.282,0.0,0.0,49.93496860109505,64.10232780528396,-46.701165000190684,During Launch
78,2025-05-01 02:18:23,5.667,-0.19685039999999998,-1.992,25.279,0.0,0.0,47.921855468893504,59.75793210266974,-44.1358428817563,During Launch
79,2025-05-01 02:18:23,5.723,0.07545932,-2.24,25.292,0.0,0.0,46.719379051131696,57.36286173861352,-43.39316364036132,During Launch
80,2025-05-01 02:18:23,5.785,-0.9186352000000001,-2.765,25.292,0.0,0.0,46.94423911990197,54.78545492169162,-41.698484719273196,During Launch
81,2025-05-01 02:18:23,5.85,0.39370079999999996,-2.249,25.297,0.0,0.0,46.507844266709384,50.57570942812379,-39.121658770891,During Launch
82,2025-05-01 02:18:23,5.907,-0.48884516,-2.81,25.232,0.0,0.0,47.76961240072061,45.46918388413525,-34.531254887540435,During Launch
83,2025-05-01 02:18:24,5.964,-0.19685039999999998,-1.672,25.287,0.0,0.0,49.05602321801647,43.00111882320218,-32.013998049810155,During Launch
84,2025-05-01 02:18:24,6.018,-0.19685039999999998,-2.107,25.287,0.0,0.0,51.08388842606819,38.394850319776,-28.04533398705323,During Launch
85,2025-05-01 02:18:24,6.064,0.17388452,-2.572,25.287,0.0,0.0,51.3899890889,35.6865271793758,-26.239344625224437,During Launch
