n,Datetime (UTC),Timestamp (s),Altitude (ft),Velocity (ft/s),Temperature (C),Longitude,Latitude,Roll (°),Pitch (°),Yaw (°),Flag
0,2025-04-30 12:50:24,0.185,-0.43635172,,25.826,-1,-1,32.91840978578872,-28.493869753543194,31.791916917769875,Before Launch
1,2025-04-30 12:50:24,1.56,1.17454072,,25.833,-1,-1,38.85654266457891,-36.5542311783381,38.12331687762981,Before Launch
2,2025-04-30 12:50:24,1.617,0.18700788000000002,,25.831,-1,-1,42.480084528856544,-41.539199302869164,42.20073247248274,Before Launch
3,2025-04-30 12:50:24,1.663,-0.66929136,,25.836,-1,-1,-7.612116255955883,-20.40663960603579,113.7841305745147,Before Launch
4,2025-04-30 12:50:24,1.735,-0.41994752,,25.838,-1,-1,-32.086742371259106,-10.152423593344786,148.6974488482118,Before Launch
5,2025-04-30 12:50:24,1.872,0.29855644,,25.828,-1,-1,-45.24618193784276,-4.924117550050635,167.4039954928952,Before Launch
6,2025-04-30 12:50:24,1.926,-0.43635172,,25.821,-1,-1,-51.38386825336517,-2.5059790230596373,175.9409249594154,Before Launch
7,2025-04-30 12:50:24,2.023,-0.19685039999999998,,25.823,-1,-1,-52.71265667526671,-1.9987901098884062,177.8199660574983,Before Launch
8,2025-04-30 12:50:24,2.108,0.18700788000000002,,25.831,-1,-1,-53.34979489868066,-1.748269228963194,178.71475219088956,Before Launch
9,2025-04-30 12:50:24,2.154,-0.17060367999999998,,25.838,-1,-1,-53.556570424584656,-1.6719776591680198,178.98860572716706,Before Launch
10,2025-04-30 12:50:24,2.207,-0.53805776,,25.838,-1,-1,-53.79054640210811,-1.5772046473531525,179.29745957695,Before Launch
11,2025-04-30 12:50:24,2.253,0.80708664,,25.833,-1,-1,-53.88456981514441,-1.5546938244654234,179.4588183692004,Before Launch
12,2025-04-30 12:50:25,2.302,-0.05249344,,25.836,-1,-1,-53.912069868168054,-1.5572078701402599,179.48591250798626,Before Launch
13,2025-04-30 12:50:25,2.358,0.29855644,,25.828,-1,-1,-53.94475543185506,-1.5157203804823212,179.53189310732515,Before Launch
14,2025-04-30 12:50:25,2.405,-0.1804462,,25.831,-1,-1,-53.96570137489281,-1.493270206540188,179.55389089873614,Before Launch
