n,Datetime (UTC),Timestamp (s),Altitude (ft),Velocity (ft/s),Temperature (C),Longitude,Latitude,Roll (°),Pitch (°),Flag
0,2025-03-19 23:44:47,0.004,-0.049212599999999995,,22.369,-1,-1,-1,-1,Before Launch
1,2025-03-19 23:44:47,0.027,-0.12139108,,22.371,-1,-1,-1,-1,Before Launch
2,2025-03-19 23:44:47,0.05,-0.12139108,,22.371,-1,-1,-1,-1,Before Launch
3,2025-03-19 23:44:47,0.074,0.37729660000000004,,22.359,-1,-1,-1,-1,Before Launch
4,2025-03-19 23:44:47,0.097,0.37729660000000004,,22.371,-1,-1,-1,-1,Before Launch
5,2025-03-19 23:44:47,0.122,-0.53149608,,22.371,-1,-1,-1,-1,Before Launch
6,2025-03-19 23:44:47,0.147,0.02624672,,22.366,-1,-1,-1,-1,Before Launch
7,2025-03-19 23:44:47,0.17,0.02624672,,22.366,-1,-1,-1,-1,Before Launch
8,2025-03-19 23:44:47,0.193,0.37401576000000003,,22.371,-1,-1,-1,-1,Before Launch
9,2025-03-19 23:44:47,0.216,-0.12139108,,22.371,-1,-1,-1,-1,Before Launch
10,2025-03-19 23:44:47,0.24,-0.12139108,,22.371,-1,-1,-1,-1,Before Launch
11,2025-03-19 23:44:47,0.263,0.21981628,,22.373,-1,-1,-1,-1,Before Launch
12,2025-03-19 23:44:47,0.287,0.26902888,,22.369,-1,-1,-1,-1,Before Launch
13,2025-03-19 23:44:47,0.309,0.26902888,,22.369,-1,-1,-1,-1,Before Launch
14,2025-03-19 23:44:47,0.333,0.39370079999999996,,22.361,-1,-1,-1,-1,Before Launch
15,2025-03-19 23:44:47,0.355,0.39370079999999996,,22.361,-1,-1,-1,-1,Before Launch
16,2025-03-19 23:44:47,0.378,-0.17060367999999998,,22.363,-1,-1,-1,-1,Before Launch
17,2025-03-19 23:44:47,0.401,-0.48556432,,22.371,-1,-1,-1,-1,Before Launch
18,2025-03-19 23:44:47,0.424,-0.48556432,,22.371,-1,-1,-1,-1,Before Launch
19,2025-03-19 23:44:47,0.447,0.63320212,,22.356,-1,-1,-1,-1,Before Launch
20,2025-03-19 23:44:47,0.469,0.63320212,,22.356,-1,-1,-1,-1,Before Launch
21,2025-03-19 23:44:47,0.492,-0.40026248,,22.376,-1,-1,-1,-1,Before Launch
22,2025-03-19 23:44:47,0.519,-0.36417324,,22.369,-1,-1,-1,-1,Before Launch
23,2025-03-19 23:44:47,0.542,-0.36417324,,22.369,-1,-1,-1,-1,Before Launch
24,2025-03-19 23:44:47,0.565,-0.63648296,,22.369,-1,-1,-1,-1,Before Launch
25,2025-03-19 23:44:47,0.588,-0.46916011999999996,,22.366,-1,-1,-1,-1,Before Launch
26,2025-03-19 23:44:47,0.611,-0.46916011999999996,,22.366,-1,-1,-1,-1,Before Launch
27,2025-03-19 23:44:47,0.634,-0.46916011999999996,,22.366,-1,-1,-1,-1,Before Launch
28,2025-03-19 23:44:47,0.656,-0.46916011999999996,,22.366,-1,-1,-1,-1,Before Launch
29,2025-03-19 23:44:47,0.679,-0.27559056000000004,,22.369,-1,-1,-1,-1,Before Launch
30,2025-03-19 23:44:47,0.702,-0.65288716,,22.366,-1,-1,-1,-1,Before Launch
31,2025-03-19 23:44:47,0.724,-0.65288716,,22.366,-1,-1,-1,-1,Before Launch
32,2025-03-19 23:44:48,0.747,0.5085302,,22.363,-1,-1,-1,-1,Before Launch
33,2025-03-19 23:44:48,0.77,0.5085302,,22.376,-1,-1,-1,-1,Before Launch
34,2025-03-19 23:44:48,0.793,0.50524936,,22.376,-1,-1,-1,-1,Before Launch
35,2025-03-19 23:44:48,0.815,0.22309712,,22.369,-1,-1,-1,-1,Before Launch
36,2025-03-19 23:44:48,0.838,0.22309712,,22.369,-1,-1,-1,-1,Before Launch
37,2025-03-19 23:44:48,0.861,-0.36417324,,22.369,-1,-1,-1,-1,Before Launch
38,2025-03-19 23:44:48,0.883,0.10498688,,22.371,-1,-1,-1,-1,Before Launch
39,2025-03-19 23:44:48,0.906,0.10498688,,22.371,-1,-1,-1,-1,Before Launch
40,2025-03-19 23:44:48,0.929,0.14763779999999999,,22.363,-1,-1,-1,-1,Before Launch
41,2025-03-19 23:44:48,0.952,0.14763779999999999,,22.363,-1,-1,-1,-1,Before Launch
42,2025-03-19 23:44:48,0.974,0.02624672,,22.366,-1,-1,-1,-1,Before Launch
43,2025-03-19 23:44:48,0.997,-0.574147,,22.371,-1,-1,-1,-1,Before Launch
44,2025-03-19 23:44:48,1.02,-0.574147,,22.371,-1,-1,-1,-1,Before Launch
45,2025-03-19 23:44:48,1.044,0.062335959999999996,,22.359,-1,-1,-1,-1,Before Launch
46,2025-03-19 23:44:48,1.068,-0.45603676000000004,,22.369,-1,-1,-1,-1,Before Launch
47,2025-03-19 23:44:48,1.096,-0.45603676000000004,,22.369,-1,-1,-1,-1,Before Launch
48,2025-03-19 23:44:48,1.125,-0.410105,,22.369,-1,-1,-1,-1,Before Launch
49,2025-03-19 23:44:48,1.155,-0.80052496,,22.371,-1,-1,-1,-1,Before Launch
50,2025-03-19 23:44:48,1.185,-0.21325460000000002,-0.139,22.371,-1,-1,-1,-1,Before Launch
51,2025-03-19 23:44:48,1.216,-0.62007876,-0.419,22.373,-1,-1,-1,-1,Before Launch
52,2025-03-19 23:44:48,1.245,-0.73162732,-0.511,22.373,-1,-1,-1,-1,Before Launch
53,2025-03-19 23:44:48,1.273,-0.80708664,-0.988,22.376,-1,-1,-1,-1,Before Launch
54,2025-03-19 23:44:48,1.301,-0.98097116,-1.128,22.371,-1,-1,-1,-1,Before Launch
55,2025-03-19 23:44:48,1.331,-0.24278216,0.239,22.366,-1,-1,-1,-1,Before Launch
56,2025-03-19 23:44:48,1.36,-0.24278216,-0.222,22.366,-1,-1,-1,-1,Before Launch
57,2025-03-19 23:44:48,1.389,0.51509188,0.401,22.359,-1,-1,-1,-1,Before Launch
58,2025-03-19 23:44:48,1.417,-0.36417324,-0.603,22.369,-1,-1,-1,-1,Before Launch
59,2025-03-19 23:44:48,1.446,-0.59711288,-0.387,22.373,-1,-1,-1,-1,Before Launch
60,2025-03-19 23:44:48,1.475,-0.59711288,-0.385,22.373,-1,-1,-1,-1,Before Launch
61,2025-03-19 23:44:48,1.504,-0.50524936,-0.584,22.373,-1,-1,-1,-1,Before Launch
62,2025-03-19 23:44:48,1.532,-0.18372704,-0.364,22.369,-1,-1,-1,-1,Before Launch
63,2025-03-19 23:44:48,1.561,-0.2788714,-0.438,22.373,-1,-1,-1,-1,Before Launch
64,2025-03-19 23:44:48,1.59,-0.45931760000000005,-0.679,22.376,-1,-1,-1,-1,Before Launch
65,2025-03-19 23:44:48,1.618,-0.58070868,-0.772,22.376,-1,-1,-1,-1,Before Launch
66,2025-03-19 23:44:48,1.646,-0.30511812,-0.106,22.371,-1,-1,-1,-1,Before Launch
67,2025-03-19 23:44:48,1.675,-0.95800528,-0.371,22.373,-1,-1,-1,-1,Before Launch
68,2025-03-19 23:44:48,1.704,-0.84645672,-0.282,22.371,-1,-1,-1,-1,Before Launch
69,2025-03-19 23:44:48,1.732,-0.84645672,-1.151,22.371,-1,-1,-1,-1,Before Launch
70,2025-03-19 23:44:49,1.761,0.48228348,-0.117,22.354,-1,-1,-1,-1,Before Launch
71,2025-03-19 23:44:49,1.789,-0.09186352,0.238,22.369,-1,-1,-1,-1,Before Launch
72,2025-03-19 23:44:49,1.817,-0.73162732,-0.283,22.373,-1,-1,-1,-1,Before Launch
73,2025-03-19 23:44:49,1.848,-0.73162732,-0.281,22.373,-1,-1,-1,-1,Before Launch
74,2025-03-19 23:44:49,1.877,-0.51509188,0.093,22.366,-1,-1,-1,-1,Before Launch
75,2025-03-19 23:44:49,1.905,-0.53149608,-0.047,22.371,-1,-1,-1,-1,Before Launch
76,2025-03-19 23:44:49,1.934,-0.15419948,0.238,22.366,-1,-1,-1,-1,Before Launch
77,2025-03-19 23:44:49,1.963,-0.15419948,0.237,22.363,-1,-1,-1,-1,Before Launch
78,2025-03-19 23:44:49,1.991,-0.0328084,0.327,22.363,-1,-1,-1,-1,Before Launch
79,2025-03-19 23:44:49,2.02,-0.9416010799999999,-0.497,22.376,-1,-1,-1,-1,Before Launch
80,2025-03-19 23:44:49,2.049,-0.62007876,0.024,22.371,-1,-1,-1,-1,Before Launch
81,2025-03-19 23:44:49,2.078,-0.32480316000000004,0.242,22.373,-1,-1,-1,-1,Before Launch
82,2025-03-19 23:44:49,2.109,-0.32480316000000004,-0.612,22.373,-1,-1,-1,-1,Before Launch
83,2025-03-19 23:44:49,2.139,-0.39698163999999997,-0.661,22.363,-1,-1,-1,-1,Before Launch
84,2025-03-19 23:44:49,2.168,-0.2788714,-0.57,22.373,-1,-1,-1,-1,Before Launch
85,2025-03-19 23:44:49,2.197,-0.09186352,-0.228,22.369,-1,-1,-1,-1,Before Launch
86,2025-03-19 23:44:49,2.225,-0.00328084,-0.163,22.376,-1,-1,-1,-1,Before Launch
87,2025-03-19 23:44:49,2.253,-0.35433072,0.007,22.376,-1,-1,-1,-1,Before Launch
88,2025-03-19 23:44:49,2.281,-0.10826772,-0.153,22.366,-1,-1,-1,-1,Before Launch
89,2025-03-19 23:44:49,2.31,0.19356956,0.063,22.363,-1,-1,-1,-1,Before Launch
90,2025-03-19 23:44:49,2.341,0.042650919999999995,-0.074,22.369,-1,-1,-1,-1,Before Launch
91,2025-03-19 23:44:49,2.369,0.042650919999999995,-0.074,22.369,-1,-1,-1,-1,Before Launch
92,2025-03-19 23:44:49,2.398,0.8595800800000001,0.585,22.356,-1,-1,-1,-1,Before Launch
93,2025-03-19 23:44:49,2.426,-0.31824148,0.179,22.369,-1,-1,-1,-1,Before Launch
94,2025-03-19 23:44:49,2.455,-0.32480316000000004,0.174,22.373,-1,-1,-1,-1,Before Launch
95,2025-03-19 23:44:49,2.485,-0.32480316000000004,-0.269,22.366,-1,-1,-1,-1,Before Launch
96,2025-03-19 23:44:49,2.513,0.07217847999999999,0.366,22.366,-1,-1,-1,-1,Before Launch
97,2025-03-19 23:44:49,2.542,-0.0328084,0.293,22.363,-1,-1,-1,-1,Before Launch
98,2025-03-19 23:44:49,2.574,-0.09842519999999999,0.215,22.373,-1,-1,-1,-1,Before Launch
99,2025-03-19 23:44:49,2.603,0.44947508,0.863,22.369,-1,-1,-1,-1,Before Launch
100,2025-03-19 23:44:49,2.633,0.44947508,0.458,22.369,-1,-1,-1,-1,Before Launch
101,2025-03-19 23:44:49,2.662,0.25262468,0.604,22.366,-1,-1,-1,-1,Before Launch
102,2025-03-19 23:44:49,2.691,-0.14435695999999998,0.406,22.373,-1,-1,-1,-1,Before Launch
103,2025-03-19 23:44:49,2.719,-0.48556432,0.222,22.371,-1,-1,-1,-1,Before Launch
104,2025-03-19 23:44:50,2.747,-0.48556432,0.343,22.369,-1,-1,-1,-1,Before Launch
105,2025-03-19 23:44:50,2.775,-0.09186352,0.105,22.369,-1,-1,-1,-1,Before Launch
106,2025-03-19 23:44:50,2.805,-0.71522312,-0.327,22.376,-1,-1,-1,-1,Before Launch
107,2025-03-19 23:44:50,2.83,0.46916011999999996,-0.032,22.359,-1,-1,-1,-1,Before Launch
