time,temperature,pressure,altitude
0.22,20.47,1009.65,-0.15
0.44,20.54,1009.64,-0.09
0.66,20.57,1009.65,-0.07
0.88,20.58,1009.66,-0.13
1.1,20.59,1009.67,-0.18
1.32,20.6,1009.65,-0.27
1.54,20.6,1009.68,-0.32
1.76,20.59,1009.68,-0.16
1.98,20.6,1009.68,-0.25
2.2,20.6,1009.63,-0.08
2.52,20.55,1009.65,-0.1
2.74,20.58,1009.67,-0.25
2.96,20.59,1009.68,-0.34
3.18,20.59,1009.68,-0.19
3.4,20.6,1009.66,-0.43
3.62,20.59,1009.69,-0.17
3.84,20.59,1009.68,-0.32
4.06,20.59,1009.69,-0.43
4.28,20.59,1009.69,-0.15
4.5,20.59,1009.7,-0.43
