time,temperature,pressure,altitude
0.12,23.43,1011.19,0.04
2.33,23.56,1011.18,-0.03
1.23,23.54,1011.16,-0.09
1.67,23.55,1011.17,-0.12
4.31,23.58,1011.17,-0.04
2.55,23.56,1011.18,-0.15
2.99,23.56,1011.15,-0.21
0.34,23.49,1011.19,-0.23
1.89,23.55,1011.17,-0.17
0.79,23.53,1011.2,-0.1
2.11,23.56,1011.17,-0.33
0.56,23.52,1011.19,-0.35
2.77,23.56,1011.18,-0.33
1.45,23.54,1011.14,-0.29
3.21,23.57,1011.19,-0.22
3.43,23.57,1011.2,-0.4
3.65,23.58,1011.18,-0.32
3.87,23.57,1011.19,-0.23
4.09,23.58,1011.17,-0.38
1.01,23.53,1011.21,-0.7
