time,temperature,pressure,altitude
0.22,16.54,1007.75,20.6
0.39,16.65,1007.78,20.41
0.56,16.69,1007.81,20.23
0.73,16.71,1007.86,19.61
1.39,16.61,1008.11,17.69
1.61,16.66,1008.21,16.9
0.96,-1,-1,18.45
3.19,-1,1008.85,11.44
1.07,-1,-1,-1
3.69,-1,1009.06,9.86
4.07,16.6,1009.15,8.99
4.41,16.71,1009.29,7.68
0.84,-1,-1,-1
2.61,16.58,1008.61,13.4
1.71,-1,-1,-1
1.76,-1,-1,-1
1.02,-1,-1,-1
1.86,-1,-1,-1
1.91,-1,-1,-1
1.12,-1,-1,-1
2.14,-1,-1,-1
2.19,-1,-1,-1
4.24,16.68,1009.23,8.49
1.44,-1,-1,-1
2.34,-1,-1,-1
2.39,-1,-1,-1
2.44,-1,-1,-1
1.66,-1,-1,-1
2.67,-1,-1,-1
2.72,-1,-1,-1
2.87,-1,-1,-1
2.92,-1,-1,-1
2.97,-1,-1,-1
3.02,-1,-1,-1
1.81,-1,-1,-1
3.24,-1,-1,-1
3.29,-1,-1,-1
3.34,-1,-1,-1
3.39,-1,-1,-1
3.44,-1,-1,-1
1.99,-1,-1,-1
3.74,-1,-1,-1
3.8,-1,-1,-1
3.85,-1,-1,-1
3.9,-1,-1,-1
2.24,-1,-1,-1
0.79,-1,-1,-1
2.29,-1,-1,-1
4.48,-1,-1,-1
4.53,-1,-1,-1
4.68,-1,-1,-1
4.73,-1,-1,-1
4.79,-1,-1,-1
