n,timestamp (s),altitude (m),latitude,longitude,temperature (C),pressure (hPa),acceleration,gyroscope,battery,Flags
0,0.161,0.022,-1,-1,26.128,1006.159,0,0,0,
1,0.822,0.036,-1,-1,26.113,1006.183,0,0,0,
2,1.484,0.132,36.814300333333335,-119.7499435,26.098,1006.151,0,0,0,
3,2.145,0.106,36.814304166666666,-119.74994083333333,26.073,1006.155,0,0,0,
4,2.806,0.099,-1,-1,26.043,1006.172,0,0,0,
5,3.468,0.051,36.814304166666666,-119.74994083333333,26.028,1006.151,0,0,0,
6,4.129,0.217,-1,-1,26.01,1006.135,0,0,0,
7,4.79,0.158,-1,-1,25.985,1006.093,0,0,0,
8,5.451,0.123,-1,-1,25.965,1006.115,0,0,0,
9,6.112,0.24,36.814304166666666,-119.74994083333333,25.923,1006.135,0,0,0,
10,6.773,0.136,36.814302166666664,-119.74993966666666,25.896,1006.136,0,0,0,
11,7.434,-0.052,-1,-1,25.888,1006.131,0,0,0,
12,8.096,0.238,36.814302166666664,-119.74993966666666,25.868,1006.11,0,0,0,
13,8.757,0.035,-1,-1,25.848,1006.107,0,0,0,
14,9.418,0.006,-1,-1,25.828,1006.134,0,0,0,
15,10.079,0.115,-1,-1,25.816,1006.141,0,0,0,
16,10.74,0.049,36.814302166666664,-119.74993966666666,25.786,1006.116,0,0,0,
17,11.402,-0.118,36.81430533333333,-119.74994016666666,25.763,1006.141,0,0,0,
18,12.063,0.111,-1,-1,25.729,1006.152,0,0,0,
19,12.724,0.017,36.81430533333333,-119.74994016666666,25.706,1006.113,0,0,0,
20,13.385,0.236,-1,-1,25.688,1006.114,0,0,0,
21,14.047,0.145,-1,-1,25.664,1006.132,0,0,0,
22,14.707,0.111,-1,-1,25.644,1006.134,0,0,0,
23,15.368,0.147,36.81430533333333,-119.74994016666666,25.619,1006.135,0,0,0,
24,16.029,0.219,36.814302833333336,-119.749939,25.601,1006.116,0,0,0,
25,16.69,0.179,-1,-1,25.574,1006.114,0,0,0,
26,17.351,0.07,36.814302833333336,-119.749939,25.549,1006.094,0,0,0,
27,18.012,0.281,-1,-1,25.529,1006.069,0,0,0,
28,18.673,0.192,-1,-1,25.516,1006.128,0,0,0,
29,19.334,-0.02,-1,-1,25.491,1006.114,0,0,0,
30,19.995,0.011,36.814302833333336,-119.749939,25.487,1006.133,0,0,0,
31,20.656,0.339,36.81429933333333,-119.74993783333333,25.467,1006.126,0,0,0,
32,21.317,0.324,-1,-1,25.444,1006.117,0,0,0,
33,21.978,0.145,36.81429933333333,-119.74993783333333,25.419,1006.118,0,0,0,
34,22.639,0.282,-1,-1,25.387,1006.13,0,0,0,
35,23.3,0.27,-1,-1,25.372,1006.09,0,0,0,
36,23.961,0.297,-1,-1,25.374,1006.117,0,0,0,
37,24.622,0.254,36.81429933333333,-119.74993783333333,25.339,1006.103,0,0,0,
38,25.283,0.317,36.81429633333333,-119.749939,25.329,1006.121,0,0,0,
39,25.944,0.181,-1,-1,25.314,1006.114,0,0,0,
40,26.605,0.518,36.81429633333333,-119.749939,25.294,1006.129,0,0,0,
41,27.266,0.324,-1,-1,25.272,1006.112,0,0,0,
42,27.927,0.393,-1,-1,25.245,1006.132,0,0,0,
43,28.588,0.174,-1,-1,25.22,1006.131,0,0,0,
44,29.249,0.299,36.81429633333333,-119.749939,25.215,1006.128,0,0,0,
45,29.91,0.138,36.814309,-119.74994266666667,25.2,1006.092,0,0,0,
46,30.57,0.258,-1,-1,25.182,1006.14,0,0,0,
47,31.232,0.242,36.814309,-119.74994266666667,25.175,1006.096,0,0,0,
48,31.892,0.566,-1,-1,25.152,1006.128,0,0,0,
49,32.554,0.174,-1,-1,25.14,1006.107,0,0,0,
50,33.215,0.214,-1,-1,25.115,1006.085,0,0,0,
