n,timestamp (s),altitude (m),latitude,longitude,temperature (C),pressure (hPa),acceleration,gyroscope,battery,Flags
0,5.968,-0.042,0.0,0.0,26.063,1001.912,0,0,0,
1,6.628,0.012,-1,-1,26.133,1001.896,0,0,0,
2,7.285,0.264,0.0,0.0,26.143,1001.899,0,0,0,
3,7.954,-0.264,-1,-1,26.15,1001.911,0,0,0,
4,8.619,-0.101,-1,-1,26.157,1001.883,0,0,0,
5,9.283,-0.216,0.0,0.0,26.157,1001.927,0,0,0,
6,9.943,-0.25,0.0,0.0,26.16,1001.917,0,0,0,
7,10.604,-0.23,-1,-1,26.163,1001.885,0,0,0,
8,11.264,-0.141,0.0,0.0,26.172,1001.927,0,0,0,
9,11.926,-0.135,-1,-1,26.172,1001.903,0,0,0,
10,12.586,-0.101,0.0,0.0,26.178,1001.916,0,0,0,
11,13.246,-0.04,0.0,0.0,26.175,1001.896,0,0,0,
12,13.91,0.095,-1,-1,26.18,1001.905,0,0,0,
13,14.572,-0.267,0.0,0.0,26.185,1001.913,0,0,0,
14,15.233,0.069,-1,-1,26.185,1001.945,0,0,0,
15,15.895,-0.105,0.0,0.0,26.19,1001.933,0,0,0,
16,16.56,-0.029,0.0,0.0,26.192,1001.921,0,0,0,
17,17.221,-0.001,-1,-1,26.192,1001.905,0,0,0,
18,17.882,0.111,0.0,0.0,26.202,1001.925,0,0,0,
19,18.544,-0.223,-1,-1,26.21,1001.927,0,0,0,
20,19.6,-0.196,0.0,0.0,26.145,1001.912,0,0,0,
21,20.257,-0.114,0.0,0.0,26.215,1001.911,0,0,0,
22,20.916,0.108,-1,-1,26.22,1001.917,0,0,0,
23,21.574,-0.147,0.0,0.0,26.227,1001.931,0,0,0,
24,22.237,0.108,-1,-1,26.232,1001.919,0,0,0,
25,22.901,-0.055,0.0,0.0,26.23,1001.926,0,0,0,
26,23.561,-0.064,0.0,0.0,26.24,1001.917,0,0,0,
27,24.221,-0.249,-1,-1,26.237,1001.928,0,0,0,
28,24.883,-0.067,0.0,0.0,26.245,1001.913,0,0,0,
29,25.543,0.006,-1,-1,26.247,1001.897,0,0,0,
30,26.203,-0.19,0.0,0.0,26.255,1001.936,0,0,0,
31,26.864,0.02,0.0,0.0,26.257,1001.894,0,0,0,
32,27.524,0.171,-1,-1,26.267,1001.875,0,0,0,
33,6496.21,0.149,0.0,0.0,26.272,1001.87,0,0,0,
34,6496.871,0.084,-1,-1,26.272,1001.901,0,0,0,
35,6497.532,0.129,0.0,0.0,26.277,1001.908,0,0,0,
36,6498.192,-0.067,0.0,0.0,26.257,1001.897,0,0,0,
37,6498.853,0.087,-1,-1,26.272,1001.888,0,0,0,
