n,timestamp (s),altitude (m),latitude,longitude,temperature (C),pressure (hPa),acceleration,gyroscope,battery,Flags
0,5.994,0.256,-1,-1,20.186,927.687,0,0,0,
1,6.655,0.146,35.10472766666667,-117.79588116666666,20.253,927.679,0,0,0,
2,7.316,0.586,-1,-1,20.258,927.63,0,0,0,
3,7.978,0.183,-1,-1,20.273,927.685,0,0,0,
4,8.639,-0.311,-1,-1,20.288,927.71,0,0,0,
5,9.7,-0.3,-1,-1,20.243,927.702,0,0,0,
6,10.361,0.053,35.10472766666667,-117.79588116666666,20.318,927.681,0,0,0,
7,11.022,0.336,35.104726166666666,-117.79588216666667,20.316,927.657,0,0,0,
8,11.682,-0.056,-1,-1,20.331,927.726,0,0,0,
9,12.344,-0.309,35.104726166666666,-117.79588216666667,20.333,927.689,0,0,0,
10,13.405,-2.784,-1,-1,20.263,927.925,0,0,0,
11,14.066,-0.224,-1,-1,20.303,927.713,0,0,0,
12,14.727,0.056,-1,-1,20.296,927.705,0,0,0,
13,15.388,0.033,-1,-1,20.266,927.703,0,0,0,
14,16.049,-0.076,35.104726166666666,-117.79588216666667,20.246,927.685,0,0,0,
15,17.11,0.338,35.104730333333336,-117.795877,20.188,927.656,0,0,0,
16,17.77,0.342,-1,-1,20.263,927.652,0,0,0,
17,18.432,0.516,35.104730333333336,-117.795877,20.266,927.715,0,0,0,
18,19.092,-0.139,-1,-1,20.246,927.695,0,0,0,
19,19.754,0.066,-1,-1,20.236,927.722,0,0,0,
20,20.815,-0.147,-1,-1,20.164,927.738,0,0,0,
21,21.475,0.168,-1,-1,20.221,927.69,0,0,0,
22,22.136,-0.327,35.104730333333336,-117.795877,20.216,927.728,0,0,0,
23,22.797,0.31,35.10472766666667,-117.79587966666666,20.201,927.748,0,0,0,
24,23.458,-0.129,-1,-1,20.201,927.711,0,0,0,
25,24.519,-0.09,35.10472766666667,-117.79587966666666,20.136,927.676,0,0,0,
26,25.18,0.04,-1,-1,20.191,927.697,0,0,0,
27,25.841,-0.015,-1,-1,20.198,927.65,0,0,0,
28,26.502,0.101,-1,-1,20.198,927.693,0,0,0,
29,27.163,0.14,-1,-1,20.184,927.591,0,0,0,
30,28.224,-0.397,35.10472766666667,-117.79587966666666,20.116,927.671,0,0,0,
31,28.885,0.067,35.104728,-117.7958795,20.176,927.68,0,0,0,
32,29.546,0.481,-1,-1,20.171,927.609,0,0,0,
33,30.207,0.105,35.104728,-117.7958795,20.171,927.63,0,0,0,
34,30.868,0.811,-1,-1,20.179,927.612,0,0,0,
35,31.929,0.107,-1,-1,20.086,927.639,0,0,0,
36,32.591,0.492,-1,-1,20.146,927.644,0,0,0,
37,33.251,0.486,-1,-1,20.146,927.65,0,0,0,
38,33.912,0.496,35.104728,-117.7958795,20.171,927.639,0,0,0,
39,34.573,0.533,35.1047225,-117.795887,20.188,927.637,0,0,0,
40,35.634,0.051,-1,-1,20.121,927.731,0,0,0,
41,36.295,-0.282,35.1047225,-117.795887,20.169,927.743,0,0,0,
42,36.956,-0.161,-1,-1,20.169,927.728,0,0,0,
43,37.618,0.236,-1,-1,20.171,927.64,0,0,0,
44,38.279,0.514,-1,-1,20.191,927.617,0,0,0,
45,39.339,0.596,-1,-1,20.146,927.601,0,0,0,
46,40.0,0.364,35.1047225,-117.795887,20.213,927.629,0,0,0,
47,40.661,0.96,35.10472733333334,-117.795883,20.258,927.581,0,0,0,
48,41.322,0.471,-1,-1,20.268,927.618,0,0,0,
49,41.986,0.675,35.10472733333334,-117.795883,20.283,927.627,0,0,0,
50,43.052,0.173,-1,-1,20.233,927.638,0,0,0,
51,43.713,0.748,-1,-1,20.281,927.644,0,0,0,
52,44.374,0.74,-1,-1,20.313,927.602,0,0,0,
53,45.035,0.283,-1,-1,20.341,927.672,0,0,0,
54,45.695,0.709,35.10472733333334,-117.795883,20.361,927.585,0,0,0,
55,46.757,0.367,35.10472166666667,-117.79588916666667,20.306,927.596,0,0,0,
56,47.417,0.766,-1,-1,20.371,927.596,0,0,0,
57,48.079,0.523,35.10472166666667,-117.79588916666667,20.396,927.614,0,0,0,
58,48.741,0.256,-1,-1,20.386,927.62,0,0,0,
59,49.402,0.209,-1,-1,20.376,927.627,0,0,0,
60,50.464,-0.072,-1,-1,20.261,927.638,0,0,0,
61,51.124,0.884,-1,-1,20.333,927.629,0,0,0,
62,51.785,0.802,35.10472166666667,-117.79588916666667,20.368,927.567,0,0,0,
63,52.446,0.451,35.10472766666667,-117.795885,20.378,927.571,0,0,0,
64,53.107,0.447,-1,-1,20.383,927.63,0,0,0,
65,54.168,0.589,35.10472766666667,-117.795885,20.321,927.607,0,0,0,
66,54.83,0.803,-1,-1,20.381,927.59,0,0,0,
67,55.491,1.464,-1,-1,20.378,927.521,0,0,0,
68,56.153,0.865,-1,-1,20.373,927.535,0,0,0,
69,56.814,0.307,-1,-1,20.358,927.619,0,0,0,
70,57.875,1.017,35.10472766666667,-117.795885,20.278,927.583,0,0,0,
71,58.536,0.997,35.104730333333336,-117.79588333333334,20.338,927.586,0,0,0,
72,59.199,0.609,-1,-1,20.346,927.613,0,0,0,
73,59.863,1.01,35.104730333333336,-117.79588333333334,20.356,927.582,0,0,0,
74,60.524,0.416,-1,-1,20.373,927.583,0,0,0,
75,61.585,0.718,-1,-1,20.306,927.617,0,0,0,
76,62.247,-0.463,-1,-1,20.381,927.714,0,0,0,
77,62.907,-0.266,-1,-1,20.421,927.705,0,0,0,
78,63.568,-0.046,35.104730333333336,-117.79588333333334,20.438,927.683,0,0,0,
79,64.229,0.073,35.1047325,-117.79588583333333,20.438,927.66,0,0,0,
80,65.289,-0.153,-1,-1,20.401,927.696,0,0,0,
81,65.95,-0.164,35.1047325,-117.79588583333333,20.443,927.69,0,0,0,
82,66.611,-0.377,-1,-1,20.45,927.739,0,0,0,
83,67.272,0.431,-1,-1,20.433,927.716,0,0,0,
84,67.934,-0.339,-1,-1,20.423,927.688,0,0,0,
85,68.995,-0.48,-1,-1,20.361,927.745,0,0,0,
86,69.656,0.449,35.1047325,-117.79588583333333,20.43,927.63,0,0,0,
87,70.317,0.589,35.104730333333336,-117.79588316666667,20.448,927.634,0,0,0,
88,70.978,0.697,-1,-1,20.443,927.608,0,0,0,
89,71.639,0.512,35.104730333333336,-117.79588316666667,20.46,927.613,0,0,0,
90,72.701,0.812,-1,-1,20.353,927.599,0,0,0,
91,73.362,-0.194,-1,-1,20.423,927.759,0,0,0,
92,74.023,-0.713,-1,-1,20.446,927.747,0,0,0,
93,74.684,0.242,-1,-1,20.458,927.66,0,0,0,
94,75.345,0.225,35.104730333333336,-117.79588316666667,20.453,927.647,0,0,0,
95,76.406,0.249,35.104727,-117.7958855,20.378,927.659,0,0,0,
96,77.067,0.106,-1,-1,20.453,927.659,0,0,0,
97,77.728,0.418,35.104727,-117.7958855,20.465,927.643,0,0,0,
98,78.389,1.274,-1,-1,20.446,927.549,0,0,0,
99,79.05,0.615,-1,-1,20.428,927.653,0,0,0,
100,80.112,1.136,-1,-1,20.351,927.532,0,0,0,
101,80.772,0.811,-1,-1,20.411,927.58,0,0,0,
102,81.433,0.83,35.104727,-117.7958855,20.425,927.618,0,0,0,
103,82.095,1.151,35.10473066666667,-117.795889,20.425,927.558,0,0,0,
104,82.756,0.983,-1,-1,20.436,927.541,0,0,0,
105,83.817,0.026,35.10473066666667,-117.795889,20.363,927.641,0,0,0,
106,84.478,-0.694,-1,-1,20.425,927.716,0,0,0,
107,85.139,1.253,-1,-1,20.418,927.532,0,0,0,
108,85.8,-0.391,-1,-1,20.403,927.732,0,0,0,
109,86.461,-0.15,-1,-1,20.401,927.712,0,0,0,
110,87.523,-0.596,35.10473066666667,-117.795889,20.366,927.756,0,0,0,
111,88.187,-0.564,35.10473533333333,-117.79588766666667,20.45,927.739,0,0,0,
112,88.848,-0.695,-1,-1,20.495,927.77,0,0,0,
113,89.509,-1.005,35.10473533333333,-117.79588766666667,20.545,927.734,0,0,0,
114,90.172,-0.848,-1,-1,20.563,927.76,0,0,0,
115,91.234,-1.007,-1,-1,20.528,927.804,0,0,0,
116,91.897,-0.737,-1,-1,20.61,927.756,0,0,0,
117,92.558,0.065,-1,-1,20.643,927.717,0,0,0,
118,93.219,0.437,35.10473533333333,-117.79588766666667,20.655,927.644,0,0,0,
