time,temperature,pressure,altitude
0.22,15.66,1007.8,20.54
0.34,15.79,1007.83,20.41
0.46,15.85,1007.84,20.14
0.58,15.89,1007.87,20.02
0.7,15.92,1007.9,20.01
0.82,15.94,1007.77,20.41
0.94,15.95,1007.67,21.49
1.06,15.96,1007.73,21.44
1.18,15.96,1007.75,20.68
1.3,15.97,1007.73,20.94
1.52,15.87,1007.8,20.69
1.64,15.92,1007.83,20.34
1.76,15.95,1007.92,19.4
1.88,15.96,1007.98,19.11
2.0,15.97,1008.1,18.29
2.11,15.98,1008.1,17.93
2.23,15.98,1008.15,17.69
2.35,15.98,1008.21,17.13
2.47,15.99,1008.28,16.43
2.59,15.99,1008.32,16.29
2.81,15.88,1008.44,15.39
2.93,15.93,1008.49,15.05
3.05,15.96,1008.54,14.46
3.17,15.98,1008.59,14.11
3.29,15.99,1008.61,13.81
3.41,15.99,1008.69,13.14
3.53,16.0,1008.77,12.53
3.65,16.0,1008.82,11.73
3.77,16.0,1008.88,11.82
3.89,16.01,1008.96,11.05
4.11,15.89,1009.05,10.09
4.23,15.95,1009.14,9.71
4.35,15.98,1009.21,9.09
4.47,16.0,1009.3,8.28
4.59,16.0,1009.34,7.78
4.71,16.01,1009.41,7.22
4.83,16.01,1009.44,6.68
4.95,16.0,1009.53,6.41
5.07,16.02,1009.61,5.76
5.19,16.01,1009.64,5.25
5.41,15.9,1009.69,4.8
5.53,15.96,1009.73,4.51
5.65,15.98,1009.76,4.1
5.77,16.0,1009.84,3.59
5.89,16.01,1009.86,3.3
6.01,16.02,1009.89,3.23
6.13,16.02,1009.95,3.0
6.25,16.02,1009.96,2.38
6.37,16.01,1009.99,2.14
6.49,16.02,1010.08,1.67
6.68,-1,1010.16,0.87
6.69,-1,-1,-1
6.74,-1,-1,-1
6.74,-1,-1,-1
6.75,-1,-1,-1
6.75,-1,-1,-1
6.75,-1,-1,-1
6.75,-1,-1,-1
6.75,-1,-1,-1
6.75,-1,-1,-1
6.97,15.9,1010.18,0.4
7.09,15.65,1008.27,7.15
7.21,15.99,1010.21,0.07
7.33,16.01,1010.18,0.66
7.45,16.01,1010.19,0.31
7.57,16.02,1010.18,0.52
7.69,16.03,1010.2,0.43
7.81,16.02,1010.15,0.72
7.93,16.02,1010.17,0.47
8.05,16.03,1010.17,0.82
8.27,15.92,1010.16,0.75
8.39,15.97,1010.17,0.49
8.5,16.0,1010.17,0.62
8.62,16.01,1010.19,0.56
8.74,16.03,1010.21,0.58
8.86,16.03,1010.19,0.38
8.98,16.04,1010.2,0.41
9.1,16.04,1010.2,0.39
9.22,16.04,1010.19,0.34
9.34,16.05,1010.18,0.7
9.56,15.94,1010.19,0.63
